RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Robert Garrigus,71,315.5,"41,009",130
2,2,Bubba Watson,77,309.8,"47,703",154
3,3,Dustin Johnson,83,308.5,"50,588",164
4,4,Brett Wetterich,54,307.3,"33,187",108
5,5,J.B. Holmes,100,307.2,"61,437",200
6,6,Graham DeLaet,88,305.7,"50,142",164
6,6,John Daly,63,305.7,"33,623",110
8,8,Ángel Cabrera,64,304.5,"38,362",126
9,9,Charles Warren,64,302.5,"35,089",116
10,10,D.J. Trahan,92,301.1,"55,411",184
11,11,Martin Flores,75,300.7,"42,705",142
12,12,Rory McIlroy,54,300.0,"31,201",104
13,14,Phil Mickelson,76,299.1,"45,459",152
14,13,Aaron Baddeley,94,298.9,"56,202",188
15,15,Charley Hoffman,85,298.2,"49,509",166
15,15,Jason Day,82,298.2,"48,901",164
17,17,Davis Love III,79,297.7,"47,042",158
18,18,Jeff Overton,89,297.3,"50,543",170
19,19,Scott Piercy,88,296.8,"52,242",176
20,20,Nick Watney,91,296.5,"51,883",175
20,20,Martin Laird,91,296.5,"53,669",181
22,22,Troy Matteson,84,296.3,"49,774",168
23,23,Jarrod Lyle,54,296.2,"27,253",92
24,24,Andres Romero,73,296.0,"43,223",146
25,26,Daniel Chopra,74,295.9,"43,800",148
26,24,Ryan Palmer,84,295.8,"49,702",168
27,28,Lucas Glover,75,295.7,"43,764",148
27,28,Alex Prugh,88,295.7,"50,856",172
29,26,Garth Mulroy,53,295.6,"28,967",98
30,28,John Rollins,81,295.5,"47,863",162
31,31,Marc Leishman,87,295.0,"51,331",174
32,35,Cameron Tringale,55,294.5,"28,864",98
33,35,Adam Scott,70,294.4,"40,045",136
34,34,Charles Howell III,103,294.3,"58,274",198
35,37,Paul Casey,64,294.2,"34,125",116
36,40,Derek Lamely,81,294.0,"44,101",150
36,31,Cameron Percy,73,294.0,"39,980",136
36,33,Matt Bettencourt,91,294.0,"48,798",166
39,38,James Driscoll,78,293.9,"45,843",156
40,38,Mathias Grönberg,61,293.7,"32,311",110
41,44,George McNeill,79,293.4,"46,352",158
42,42,Bill Haas,87,293.3,"51,026",174
42,41,Matt Jones,89,293.3,"52,199",178
44,43,Josh Teater,101,293.1,"58,031",198
45,45,Jimmy Walker,82,292.9,"45,686",156
46,47,J.J. Henry,92,292.8,"49,190",168
47,48,Sergio Garcia,58,292.7,"30,438",104
47,45,Rickie Fowler,98,292.7,"57,363",196
49,51,Stewart Cink,84,292.4,"46,786",160
49,48,Chris Couch,66,292.4,"38,592",132
51,50,Vijay Singh,75,292.3,"43,267",148
52,52,Padraig Harrington,57,292.1,"32,715",112
53,53,Roger Tambellini,77,292.0,"40,293",138
53,53,Bo Van Pelt,104,292.0,"60,731",208
55,58,David Lutterus,69,291.9,"36,781",126
55,56,Boo Weekley,88,291.9,"46,700",160
57,58,Hunter Mahan,85,291.8,"49,029",168
58,56,Tim Herron,79,291.7,"42,591",146
58,53,Chris Wilson,65,291.7,"34,421",118
60,60,John Merrick,109,291.4,"58,862",202
60,61,Retief Goosen,75,291.4,"41,383",142
60,62,Greg Owen,69,291.4,"40,218",138
63,62,Blake Adams,84,291.3,"47,781",164
64,66,Matt Every,60,290.9,"33,750",116
64,67,Jonathan Byrd,85,290.9,"49,461",170
66,62,Will MacKenzie,72,290.8,"41,868",144
66,69,Ted Purdy,86,290.8,"47,685",164
68,70,Kenny Perry,69,290.6,"39,522",136
68,68,Steve Marino,81,290.6,"47,079",162
70,71,Kevin Streelman,90,290.3,"49,933",172
70,62,Paul Stankowski,62,290.3,"31,354",108
72,72,John Senden,103,290.2,"59,781",206
72,72,Kevin Stadler,86,290.2,"45,264",156
74,75,Andrew McLardy,52,289.9,"27,835",96
75,80,Michael Letzig,84,289.7,"48,665",168
75,76,Ryan Moore,80,289.7,"45,476",157
77,79,Camilo Villegas,78,289.6,"41,703",144
78,76,Sean O'Hair,84,289.3,"47,162",163
78,76,Mathew Goggin,85,289.3,"49,181",170
80,81,Steve Elkington,74,289.2,"39,333",136
80,74,Nicholas Thompson,88,289.2,"48,593",168
82,82,Robert Allenby,76,289.1,"42,505",147
82,82,Rory Sabbatini,79,289.1,"43,946",152
84,84,Stuart Appleby,101,289.0,"57,221",198
85,85,Bill Lunde,79,288.9,"43,329",150
86,94,Jeff Gove,57,288.7,"29,449",102
86,85,Tom Gillis,97,288.7,"56,016",194
88,90,Scott McCarron,90,288.6,"51,943",180
88,88,Y.E. Yang,72,288.6,"40,409",140
90,87,Brenden Pappas,66,288.4,"35,766",124
90,92,Ernie Els,72,288.4,"40,374",140
92,88,Troy Merritt,86,288.2,"48,417",168
93,93,Chris Tidland,77,288.1,"42,060",146
93,90,Henrik Bjornstad,72,288.1,"38,024",132
95,94,Roland Thatcher,72,288.0,"41,467",144
