RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Bubba Watson,68,315.5,"41,652",132
2,2,Charlie Beljan,61,311.6,"33,027",106
3,3,Robert Garrigus,89,310.3,"55,241",178
4,4,Dustin Johnson,70,310.2,"40,948",132
5,5,Rory McIlroy,60,310.1,"32,868",106
6,6,J.B. Holmes,90,309.7,"50,785",164
7,7,Jason Day,57,308.6,"33,333",108
8,8,Kyle Stanley,86,306.9,"51,249",167
9,9,John Daly,50,306.7,"28,216",92
10,10,Adam Scott,59,304.6,"35,335",116
10,10,Jhonattan Vegas,77,304.6,"45,697",150
12,12,Scott Piercy,95,304.5,"57,860",190
13,13,Graham DeLaet,79,304.3,"45,649",150
14,13,Jason Kokrak,79,304.1,"45,616",150
15,15,Ryan Palmer,81,303.1,"48,797",161
16,16,Keegan Bradley,90,302.7,"52,663",174
17,17,Scott Stallings,78,302.4,"46,871",155
18,18,Gary Woodland,70,301.6,"40,413",134
19,19,Seung-Yul Noh,105,300.4,"58,274",194
20,21,Harris English,98,300.3,"58,851",196
21,19,Bobby Gates,87,300.2,"49,837",166
22,22,Ángel Cabrera,54,299.7,"29,375",98
23,23,Louis Oosthuizen,65,299.5,"37,141",124
23,23,Troy Kelly,68,299.5,"37,140",124
25,26,Brandt Jobe,57,299.2,"31,714",106
26,26,Troy Matteson,100,298.9,"56,196",188
27,25,Josh Teater,97,298.6,"55,543",186
28,28,Martin Laird,77,298.2,"42,945",144
29,29,Lee Westwood,60,298.1,"31,596",106
30,32,Harrison Frazar,56,297.7,"32,147",108
31,29,Sean O'Hair,84,297.5,"49,980",168
32,35,Tiger Woods,69,297.4,"39,856",134
33,34,Erik Compton,81,297.2,"43,385",146
33,32,Tommy Gainey,98,297.2,"57,955",195
35,36,Carl Pettersson,92,297.1,"54,366",183
36,31,Boo Weekley,74,296.8,"39,173",132
36,38,Nick Watney,97,296.8,"55,800",188
38,39,Jimmy Walker,101,296.5,"59,902",202
39,36,Davis Love III,64,296.3,"37,929",128
40,43,Bo Van Pelt,84,296.1,"49,152",166
41,42,Greg Owen,90,295.9,"53,268",180
42,46,Charl Schwartzel,56,295.8,"31,652",107
43,43,Mark Anderson,75,295.7,"40,806",138
44,40,Edward Loar,59,295.6,"31,329",106
44,45,Daniel Chopra,55,295.6,"30,151",102
46,47,Charley Hoffman,88,295.5,"51,712",175
47,48,Vijay Singh,99,295.4,"58,486",198
47,41,John Rollins,81,295.4,"45,487",154
49,49,Martin Flores,95,295.0,"54,877",186
50,51,Robert Karlsson,54,294.7,"30,353",103
51,50,Charles Howell III,98,294.6,"57,448",195
51,51,Ernie Els,80,294.6,"45,951",156
53,53,Phil Mickelson,79,294.4,"46,511",158
54,54,Chris Couch,61,293.8,"34,664",118
55,54,Matt Jones,53,293.7,"28,779",98
55,56,Garth Mulroy,59,293.7,"33,477",114
57,57,Padraig Harrington,67,293.6,"36,995",126
58,58,John Merrick,83,293.3,"46,346",158
58,61,Kevin Chappell,91,293.3,"51,033",174
60,60,Rickie Fowler,84,293.2,"48,676",166
61,61,Hunter Mahan,88,293.1,"48,073",164
62,63,Kevin Stadler,85,292.9,"45,114",154
63,58,Kevin Streelman,89,292.8,"50,945",174
64,66,Jason Dufner,83,292.4,"47,367",162
64,66,Sergio Garcia,57,292.4,"32,747",112
66,63,D.J. Trahan,73,292.2,"40,330",138
66,68,Bill Haas,79,292.2,"45,002",154
68,69,Ricky Barnes,92,292.0,"51,393",176
68,69,Andres Romero,68,292.0,"35,042",120
68,69,Aaron Baddeley,73,292.0,"42,048",144
68,69,Jeff Overton,101,292.0,"56,645",194
72,65,Danny Lee,74,291.9,"38,533",132
73,73,Chris Kirk,93,291.8,"51,938",178
74,75,Bud Cauley,99,291.6,"57,161",196
75,74,Stephen Gangluff,57,291.5,"29,732",102
75,76,Pat Perez,81,291.5,"45,763",157
77,76,Scott Brown,65,291.2,"34,366",118
78,78,James Driscoll,83,291.1,"46,000",158
79,82,John Senden,81,291.0,"45,108",155
80,79,Trevor Immelman,76,290.9,"44,218",152
80,84,Justin Rose,69,290.9,"39,277",135
82,79,Mathew Goggin,65,290.8,"35,477",122
83,84,Roberto Castro,92,290.6,"49,981",172
84,79,Bill Lunde,83,290.5,"43,582",150
85,88,Cameron Tringale,88,290.4,"50,815",175
85,86,Will Claxton,99,290.4,"55,182",190
87,82,Camilo Villegas,79,290.3,"44,701",154
87,91,Brian Harman,101,290.3,"58,632",202
89,89,Billy Horschel,63,290.2,"31,918",110
90,93,Geoff Ogilvy,73,290.1,"41,189",142
90,90,Chad Campbell,84,290.1,"48,742",168
92,87,Kyle Reifers,86,290.0,"47,554",164
92,95,Ryo Ishikawa,54,290.0,"26,678",92
94,92,J.J. Killeen,101,289.9,"53,920",186
95,97,Sangmoon Bae,81,289.8,"44,332",153
96,93,Miguel Angel Carballo,73,289.5,"37,634",130
96,,Henrik Stenson,51,289.5,"27,213",94
96,99,Jonathan Byrd,69,289.5,"39,371",136
99,100,Marc Leishman,84,289.4,"48,620",168
99,98,Tim Herron,88,289.4,"50,934",176
101,95,Daniel Summerhays,81,289.3,"44,558",154
102,102,Derek Lamely,64,289.1,"35,852",124
103,106,Tom Gillis,75,289.0,"43,355",150
104,100,Roland Thatcher,55,288.9,"28,312",98
105,105,George McNeill,85,288.8,"46,206",160
105,104,Rod Pampling,88,288.8,"46,210",160
105,112,Stewart Cink,71,288.8,"38,127",132
105,106,Brendon de Jonge,115,288.8,"63,831",221
105,103,Brendan Steele,77,288.8,"42,162",146
110,108,Brandt Snedeker,81,288.7,"45,035",156
111,110,Webb Simpson,77,288.6,"43,872",152
112,108,Blake Adams,107,288.4,"59,410",206
113,112,John Huh,99,288.3,"57,075",198
