RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,2,John Senden,103,72.49,"1,344","1,854",-0.23
2,3,Kevin Sutherland,86,71.96,"1,114","1,548",-0.24
3,1,Joe Durant,67,71.95,790,"1,098",-0.25
4,8,Charles Warren,64,71.74,749,"1,044",-0.25
5,4,Troy Matteson,84,71.43,"1,080","1,512",-0.22
6,6,Graham DeLaet,88,71.27,"1,052","1,476",-0.25
7,5,D.J. Trahan,92,71.26,"1,180","1,656",-0.26
8,7,Kris Blanks,91,71.15,"1,063","1,494",-0.20
9,9,Paul Stankowski,62,70.88,689,972,-0.28
10,12,Aron Price,70,70.49,812,"1,152",-0.25
11,14,Cameron Percy,73,70.42,862,"1,224",-0.23
12,19,Mark Wilson,87,70.28,"1,050","1,494",-0.22
13,15,Davis Love III,79,70.25,999,"1,422",-0.24
14,18,John Merrick,109,70.24,"1,277","1,818",-0.24
15,10,Cameron Tringale,55,70.18,619,882,-0.21
16,20,Brett Quigley,96,70.12,"1,199","1,710",-0.24
17,15,Brendon de Jonge,114,70.07,"1,337","1,908",-0.28
17,22,Garth Mulroy,53,70.07,618,882,-0.22
17,17,Boo Weekley,88,70.07,"1,009","1,440",-0.22
20,21,Jonathan Byrd,85,70.00,"1,071","1,530",-0.25
21,23,Bill Haas,87,69.92,"1,095","1,566",-0.26
22,31,Rickie Fowler,98,69.90,"1,233","1,764",-0.26
23,28,Spencer Levin,110,69.88,"1,283","1,836",-0.26
24,25,Garrett Willis,82,69.87,981,"1,404",-0.25
25,13,Tom Pernice Jr.,74,69.78,829,"1,188",-0.23
26,11,Mathew Goggin,85,69.74,"1,067","1,530",-0.22
27,33,Roger Tambellini,77,69.73,866,"1,242",-0.19
28,28,Jeff Gove,57,69.72,640,918,-0.18
29,24,Billy Mayfair,78,69.68,878,"1,260",-0.20
30,27,Nick Watney,91,69.63,"1,103","1,584",-0.29
31,28,Adam Scott,70,69.61,852,"1,224",-0.26
32,25,Heath Slocum,97,69.59,"1,165","1,674",-0.22
33,35,Briny Baird,87,69.41,"1,037","1,494",-0.22
34,34,Matt Kuchar,97,69.36,"1,186","1,710",-0.30
35,36,Rocco Mediate,71,69.32,861,"1,242",-0.20
36,37,Chris Stroud,90,69.31,"1,023","1,476",-0.23
37,37,Bo Van Pelt,104,69.23,"1,296","1,872",-0.27
38,32,Henrik Bjornstad,72,69.11,821,"1,188",-0.24
39,40,Chad Campbell,94,69.06,"1,156","1,674",-0.23
40,42,Kenny Perry,69,69.04,845,"1,224",-0.21
41,44,Greg Owen,69,69.00,857,"1,242",-0.23
42,43,Dean Wilson,54,68.98,596,864,-0.26
43,39,Jay Williamson,76,68.95,844,"1,224",-0.22
43,40,Pat Perez,90,68.95,"1,117","1,620",-0.27
45,45,Josh Teater,101,68.80,"1,226","1,782",-0.24
46,47,J.J. Henry,92,68.72,"1,039","1,512",-0.24
47,48,Steve Elkington,74,68.71,841,"1,224",-0.25
48,49,Paul Casey,64,68.68,717,"1,044",-0.30
49,50,Hunter Mahan,85,68.65,"1,038","1,512",-0.25
49,51,Michael Bradley,77,68.65,902,"1,314",-0.23
51,63,Vijay Singh,75,68.62,914,"1,332",-0.24
52,66,Stewart Cink,84,68.61,988,"1,440",-0.27
53,53,Alex Prugh,88,68.60,"1,062","1,548",-0.28
54,57,Charles Howell III,103,68.57,"1,222","1,782",-0.26
55,54,Bubba Watson,77,68.54,950,"1,386",-0.31
56,46,Will MacKenzie,72,68.52,888,"1,296",-0.24
56,55,K.J. Choi,82,68.52,962,"1,404",-0.26
58,52,Richard Johnson,90,68.50,"1,011","1,476",-0.23
59,56,Vaughn Taylor,87,68.33,"1,070","1,566",-0.27
60,58,Steve Stricker,73,68.29,885,"1,296",-0.29
61,68,Johnson Wagner,85,68.24,995,"1,458",-0.24
62,61,Ricky Barnes,103,68.23,"1,265","1,854",-0.26
63,69,Sean O'Hair,84,68.22,"1,007","1,476",-0.23
63,62,Ben Crane,85,68.22,"1,007","1,476",-0.27
63,73,Omar Uresti,74,68.22,835,"1,224",-0.19
66,59,John Rollins,81,68.18,994,"1,458",-0.25
67,63,Robert Allenby,76,68.17,908,"1,332",-0.27
68,80,Brett Wetterich,54,68.11,662,972,-0.26
69,72,Ben Curtis,78,68.02,955,"1,404",-0.21
70,69,Kevin Stadler,86,67.95,954,"1,404",-0.27
70,69,Dustin Johnson,83,67.95,"1,003","1,476",-0.30
72,65,Michael Letzig,84,67.92,"1,027","1,512",-0.26
72,76,Woody Austin,93,67.92,"1,088","1,602",-0.24
74,81,D.A. Points,90,67.90,"1,100","1,620",-0.23
75,74,Ernie Els,72,67.86,855,"1,260",-0.27
75,60,Nicholas Thompson,88,67.86,"1,026","1,512",-0.23
77,75,Martin Laird,91,67.83,"1,111","1,638",-0.26
78,77,Freddie Jacobson,83,67.80,"1,013","1,494",-0.26
79,88,Jason Bohn,84,67.79,"1,025","1,512",-0.27
79,78,Stephen Ames,75,67.79,903,"1,332",-0.25
79,86,Bob Estes,79,67.79,964,"1,422",-0.23
82,78,Scott Piercy,88,67.74,"1,073","1,584",-0.28
83,82,Geoff Ogilvy,62,67.69,731,"1,080",-0.28
84,84,Lee Janzen,77,67.68,938,"1,386",-0.23
84,83,Jason Day,82,67.68,999,"1,476",-0.25
86,89,Robert Garrigus,71,67.61,791,"1,170",-0.28
87,84,David Toms,86,67.58,"1,034","1,530",-0.27
88,91,Jerry Kelly,99,67.49,"1,154","1,710",-0.24
88,97,Steve Marino,81,67.49,984,"1,458",-0.27
90,87,Lucas Glover,75,67.42,898,"1,332",-0.26
91,67,Chris DiMarco,88,67.39,"1,019","1,512",-0.25
92,91,Chris Riley,73,67.33,812,"1,206",-0.24
93,89,Jim Furyk,76,67.12,894,"1,332",-0.26
94,94,John Mallinger,78,67.11,918,"1,368",-0.24
95,113,Michael Connell,89,66.94,976,"1,458",-0.25
96,98,Jeff Overton,89,66.86,"1,023","1,530",-0.29
97,93,James Driscoll,78,66.81,938,"1,404",-0.26
98,96,Brent Delahoussaye,57,66.78,613,918,-0.20
99,94,Mathias Grönberg,61,66.77,661,990,-0.21
100,116,Jeff Maggert,76,66.75,817,"1,224",-0.22
101,120,Rory Sabbatini,79,66.74,913,"1,368",-0.27
102,99,Tim Clark,88,66.73,"1,021","1,530",-0.27
102,100,Blake Adams,84,66.73,985,"1,476",-0.26
104,100,Ryan Moore,80,66.67,948,"1,422",-0.27
104,100,Marc Leishman,87,66.67,"1,044","1,566",-0.25
104,100,Kevin Streelman,90,66.67,"1,032","1,548",-0.29
104,100,Jason Dufner,87,66.67,"1,044","1,566",-0.23
104,,Cliff Kresge,50,66.67,552,828,-0.22
109,106,Alex Cejka,81,66.60,947,"1,422",-0.23
110,112,Charlie Wi,95,66.55,"1,138","1,710",-0.27
111,108,Zach Johnson,93,66.54,"1,090","1,638",-0.28
112,109,Charley Hoffman,85,66.53,994,"1,494",-0.31
113,107,Tim Herron,79,66.51,874,"1,314",-0.24
114,100,Chris Couch,66,66.50,790,"1,188",-0.30
115,113,Brenden Pappas,66,66.49,742,"1,116",-0.24
116,110,James Nitties,92,66.47,"1,029","1,548",-0.26
117,111,Chris Tidland,77,66.36,872,"1,314",-0.24
118,115,Tim Petrovic,105,66.35,"1,254","1,890",-0.25
119,117,Justin Rose,78,66.31,931,"1,404",-0.28
120,119,Rory McIlroy,54,66.24,620,936,-0.25
121,121,Webb Simpson,98,66.16,"1,167","1,764",-0.28
122,122,Cameron Beckman,68,66.15,762,"1,152",-0.21
123,123,Sergio Garcia,58,66.13,619,936,-0.24
124,124,David Duval,71,66.10,821,"1,242",-0.27
125,129,Joe Ogilvie,99,66.07,"1,106","1,674",-0.26
126,126,Trevor Immelman,55,66.06,654,990,-0.20
127,128,Camilo Villegas,78,66.05,856,"1,296",-0.25
128,125,George McNeill,79,66.03,939,"1,422",-0.27
129,130,Greg Chalmers,93,66.01,"1,105","1,674",-0.27
130,131,J.P. Hayes,79,66.00,891,"1,350",-0.28
131,118,Tom Gillis,97,65.98,"1,152","1,746",-0.30
132,126,Andrew McLardy,52,65.97,570,864,-0.22
133,132,Retief Goosen,75,65.96,843,"1,278",-0.29
134,133,Paul Goydos,78,65.95,926,"1,404",-0.25
134,133,Y.E. Yang,72,65.95,831,"1,260",-0.28
136,142,Roland Thatcher,72,65.90,854,"1,296",-0.21
137,135,Kevin Na,94,65.89,"1,103","1,674",-0.28
138,136,Jimmy Walker,82,65.88,925,"1,404",-0.26
139,137,Bill Lunde,79,65.85,889,"1,350",-0.22
140,137,Scott McCarron,90,65.80,"1,066","1,620",-0.26
141,139,Ángel Cabrera,64,65.78,746,"1,134",-0.25
142,140,John Daly,63,65.66,650,990,-0.26
143,141,Steve Lowery,67,65.52,743,"1,134",-0.23
144,151,J.B. Holmes,100,65.50,"1,179","1,800",-0.29
145,143,Troy Merritt,86,65.48,990,"1,512",-0.29
145,160,Mark Calcavecchia,50,65.48,495,756,-0.22
145,152,Ryan Palmer,84,65.48,990,"1,512",-0.30
148,150,Jeff Quinney,91,65.45,"1,025","1,566",-0.28
149,144,Jarrod Lyle,54,65.34,541,828,-0.23
149,144,Michael Sim,64,65.34,741,"1,134",-0.28
151,159,Matt Jones,89,65.29,"1,046","1,602",-0.29
152,147,Bryce Molder,84,65.28,940,"1,440",-0.25
152,147,Luke Donald,71,65.28,799,"1,224",-0.26
152,147,Jeev Milkha Singh,59,65.28,611,936,-0.23
155,153,Phil Mickelson,76,65.13,891,"1,368",-0.31
156,157,Justin Leonard,89,65.09,"1,031","1,584",-0.26
157,155,Andres Romero,73,65.07,855,"1,314",-0.26
158,155,Brian Stuard,81,65.04,878,"1,350",-0.24
159,158,Rod Pampling,77,64.94,900,"1,386",-0.24
160,164,Justin Bolli,55,64.85,572,882,-0.19
