RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
1,1,Rory McIlroy,16,"$8,047,952",4
2,2,Tiger Woods,19,"$6,133,158",3
3,3,Brandt Snedeker,22,"$4,989,739",2
4,4,Jason Dufner,22,"$4,869,304",2
5,5,Bubba Watson,19,"$4,644,997",1
6,6,Zach Johnson,25,"$4,504,244",2
7,7,Justin Rose,19,"$4,290,930",1
8,8,Phil Mickelson,22,"$4,203,821",1
9,9,Hunter Mahan,23,"$4,019,193",2
10,10,Keegan Bradley,25,"$3,910,658",1
11,11,Matt Kuchar,22,"$3,903,065",1
12,12,Jim Furyk,24,"$3,623,805",
13,13,Carl Pettersson,26,"$3,538,656",1
14,14,Luke Donald,17,"$3,512,024",1
15,15,Louis Oosthuizen,19,"$3,460,995",
16,16,Ernie Els,22,"$3,453,118",1
17,17,Webb Simpson,22,"$3,436,758",1
18,18,Steve Stricker,19,"$3,420,021",1
19,19,Dustin Johnson,19,"$3,393,820",1
20,26,Robert Garrigus,26,"$3,206,530",
21,20,Rickie Fowler,23,"$3,066,293",1
22,21,Nick Watney,26,"$3,044,224",1
23,22,Bo Van Pelt,24,"$3,043,509",
24,23,Lee Westwood,15,"$3,016,569",
25,24,Adam Scott,16,"$2,899,557",
26,25,Ryan Moore,24,"$2,858,944",1
27,27,Scott Piercy,28,"$2,699,205",1
28,28,John Huh,28,"$2,692,113",1
29,29,Sergio Garcia,16,"$2,510,116",1
30,30,Ben Curtis,19,"$2,494,153",1
31,31,Graeme McDowell,16,"$2,408,279",
32,32,Kyle Stanley,27,"$2,351,857",1
33,33,Bill Haas,23,"$2,349,951",1
34,35,Jonas Blixt,21,"$2,255,695",1
35,34,Johnson Wagner,27,"$2,225,007",1
36,36,Martin Laird,22,"$2,172,883",
37,37,Mark Wilson,25,"$2,144,780",1
38,38,Kevin Na,25,"$2,029,943",
39,39,Brendon de Jonge,31,"$2,015,252",
40,52,Matt Every,25,"$1,972,166",
41,40,Marc Leishman,23,"$1,933,761",1
42,41,John Senden,22,"$1,916,651",
43,45,Charlie Wi,25,"$1,845,397",
44,42,Bud Cauley,28,"$1,774,479",
45,43,Ian Poulter,15,"$1,715,271",1
46,44,Ben Crane,23,"$1,701,365",
47,46,David Toms,19,"$1,658,428",
48,47,Jimmy Walker,28,"$1,638,419",
49,48,Seung-Yul Noh,28,"$1,629,751",
50,49,Jonathan Byrd,21,"$1,616,789",
51,50,Vijay Singh,27,"$1,586,305",
52,51,Jeff Overton,29,"$1,563,670",
53,53,Padraig Harrington,18,"$1,546,272",
54,54,Kevin Stadler,25,"$1,546,036",
55,56,Tommy Gainey,32,"$1,540,749",1
56,55,D.A. Points,29,"$1,533,361",
57,57,Ken Duke,30,"$1,511,628",
58,59,Ryan Palmer,24,"$1,501,215",
59,58,John Rollins,26,"$1,489,155",
60,60,Michael Thompson,25,"$1,408,374",
61,61,Tim Clark,20,"$1,407,028",
62,62,"Ted Potter, Jr.",25,"$1,383,170",1
63,139,Charlie Beljan,22,"$1,373,528",1
64,63,Brian Davis,29,"$1,318,032",
65,64,J.J. Henry,28,"$1,297,802",1
66,87,Scott Stallings,27,"$1,293,739",1
