RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Bryson DeChambeau,12,337.8,"8,106",24
2,2,Taylor Pendrith,4,331.9,"2,655",8
3,4,Rory McIlroy,16,322.7,"10,327",32
4,5,Cameron Champ,16,321.7,"10,294",32
5,6,Dustin Johnson,12,321.4,"7,714",24
6,8,Erik Barnes,4,319.6,"2,557",8
7,9,Thomas Pieters,4,319.4,"2,555",8
8,10,Renato Paratore,4,318.5,"2,548",8
8,10,Lucas Herbert,4,318.5,"2,548",8
8,3,Joaquin Niemann,20,318.5,"12,741",40
11,7,Wyndham Clark,20,318.0,"12,721",40
12,12,Sam Burns,18,317.5,"11,430",36
13,13,Davis Riley,4,316.3,"2,530",8
14,15,Will Gordon,22,314.9,"13,854",44
15,16,Will Zalatoris,18,314.4,"11,320",36
15,16,Sergio Garcia,18,314.4,"11,317",36
17,19,Jaekyeong Lee,4,313.8,"2,510",8
18,21,Ryan Palmer,14,313.6,"8,780",28
18,14,Luke List,20,313.6,"12,544",40
18,21,Tony Finau,16,313.6,"10,034",32
21,26,Ryan Brehm,14,313.5,"8,777",28
22,23,Jon Rahm,16,313.2,"10,023",32
23,24,Robert MacIntyre,4,313.1,"2,505",8
24,20,Dylan Frittelli,22,312.8,"13,761",44
25,27,Matthew Wolff,18,312.6,"11,252",36
26,18,Cameron Davis,18,312.2,"11,240",36
27,28,Adam Scott,12,312.0,"7,489",24
28,29,Isaiah Salinda,8,311.3,"4,980",16
29,25,Kristoffer Ventura,22,311.2,"13,692",44
30,34,John Pak,4,309.0,"2,472",8
31,38,Jason Kokrak,18,308.8,"11,115",36
32,36,MJ Daffue,10,308.6,"6,172",20
33,37,Andy Ogletree,6,308.3,"3,699",12
34,31,Stewart Cink,20,308.2,"12,329",40
35,30,Tyler McCumber,16,308.1,"9,860",32
35,32,Brandon Hagy,12,308.1,"7,394",24
37,39,Max Homa,14,308.0,"8,623",28
38,41,Kurt Kitayama,4,307.8,"2,462",8
38,34,Charley Hoffman,24,307.8,"14,773",48
40,43,George Markham,4,307.5,"2,460",8
41,40,Joseph Bramlett,20,307.4,"12,296",40
42,45,Jeongwoo Ham,4,307.3,"2,458",8
42,45,Bubba Watson,16,307.3,"9,833",32
