RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Cameron Champ,78,317.9,"48,322",152
2,2,Rory McIlroy,72,313.5,"40,123",128
3,3,Luke List,66,313.3,"39,481",126
4,5,Dustin Johnson,73,312.0,"41,178",132
5,4,Wyndham Clark,87,311.8,"53,004",170
6,6,Bubba Watson,65,311.6,"36,142",116
7,7,Seth Reeves,73,311.4,"41,733",134
8,8,Trey Mullinax,77,310.2,"45,285",146
9,9,Tony Finau,89,309.5,"49,523",160
10,10,Cameron Davis,76,309.0,"44,493",144
10,13,Brooks Koepka,81,309.0,"40,794",132
12,13,Jhonattan Vegas,75,308.3,"44,401",144
13,12,Gary Woodland,87,308.2,"46,842",152
14,15,Sam Burns,80,307.2,"47,917",156
15,16,Byeong Hun An,80,307.1,"39,920",130
16,17,J.B. Holmes,78,306.7,"38,648",126
17,20,Jason Kokrak,94,306.4,"50,250",164
17,18,Ollie Schniederjans,77,306.4,"43,513",142
19,19,Phil Mickelson,63,306.3,"36,755",120
20,21,Jon Rahm,75,305.6,"39,113",128
21,22,Patrick Cantlay,77,304.7,"41,440",136
22,23,Sepp Straka,78,304.4,"43,833",144
23,24,Brandon Harkins,91,304.3,"50,515",166
24,28,Xander Schauffele,77,304.1,"37,706",124
25,25,Martin Trainer,63,303.8,"37,069",122
25,25,Kevin Tway,84,303.8,"43,741",144
27,28,Alex Prugh,77,303.7,"43,122",142
28,25,Justin Rose,66,303.2,"35,171",116
28,30,Keith Mitchell,86,303.2,"45,475",150
30,31,Rickie Fowler,76,303.1,"46,071",152
31,32,Hideki Matsuyama,91,303.0,"48,481",160
32,33,Charles Howell III,94,302.8,"50,270",166
33,34,Aaron Wise,72,302.6,"41,763",138
34,39,Bryson DeChambeau,75,302.5,"43,555",144
34,35,Sergio Garcia,53,302.5,"26,616",88
34,35,Brendan Steele,68,302.5,"32,672",108
37,40,Justin Thomas,75,302.2,"38,682",128
38,37,Jason Day,69,302.0,"33,819",112
38,37,Harold Varner III,84,302.0,"49,521",164
40,41,Nick Watney,87,301.7,"45,248",150
41,42,Joaquin Niemann,98,301.5,"55,474",184
42,43,Danny Lee,83,301.4,"46,415",154
43,44,Alex Noren,63,301.1,"31,314",104
44,45,Harris English,97,301.0,"54,774",182
44,45,Carlos Ortiz,84,301.0,"49,366",164
44,45,Daniel Berger,70,301.0,"39,735",132
47,48,Adam Schenk,102,300.8,"60,155",200
48,49,Sung Kang,86,300.5,"48,074",160
49,50,Max Homa,82,300.2,"48,029",160
50,51,John Chin,58,300.0,"32,399",108
51,52,Sam Saunders,78,299.9,"44,388",148
52,53,Patrick Rodgers,55,299.8,"30,579",102
53,54,Beau Hossler,87,299.4,"44,913",150
54,55,Adam Scott,63,299.3,"31,731",106
55,56,Jimmy Walker,74,299.2,"39,488",132
56,57,Chase Wright,75,299.1,"41,274",138
57,58,Martin Laird,88,298.9,"47,816",160
58,59,Sebastián Muñoz,86,298.8,"47,814",160
59,62,Tommy Fleetwood,71,298.7,"35,841",120
60,60,Ryan Palmer,74,298.6,"34,637",116
61,61,Keegan Bradley,89,298.5,"44,182",148
62,63,Paul Casey,79,298.4,"37,597",126
63,64,Chesson Hadley,76,297.6,"39,287",132
64,65,Peter Uihlein,84,297.5,"41,646",140
65,66,Talor Gooch,54,297.4,"32,119",108
66,71,Corey Conners,90,297.3,"51,132",172
67,67,Cody Gribble,74,297.2,"39,236",132
67,67,Mackenzie Hughes,80,297.2,"45,176",152
69,69,Scott Stallings,82,297.0,"43,958",148
70,70,Cameron Tringale,73,296.9,"38,599",130
71,72,Patrick Reed,93,296.8,"49,855",168
72,72,Tyrrell Hatton,62,296.6,"29,655",100
73,74,Dylan Frittelli,83,296.5,"48,028",162
73,74,Sangmoon Bae,60,296.5,"32,026",108
73,74,Jim Knous,57,296.5,"31,427",106
76,77,Dominic Bozzelli,73,296.4,"39,721",134
77,84,Louis Oosthuizen,71,296.3,"33,181",112
78,78,Marc Leishman,76,296.2,"37,908",128
79,79,Bronson Burgoon,59,296.1,"30,198",102
79,80,Lucas Glover,94,296.1,"53,306",180
81,80,Seamus Power,80,295.9,"42,608",144
81,80,Shawn Stefani,80,295.9,"44,983",152
81,87,Sungjae Im,122,295.9,"67,473",228
84,83,Roger Sloan,88,295.8,"49,695",168
85,84,Emiliano Grillo,85,295.7,"39,033",132
85,84,Hunter Mahan,59,295.7,"34,894",118
87,87,Charley Hoffman,74,295.6,"36,658",124
88,89,Jordan Spieth,82,295.2,"46,634",158
88,89,Hudson Swafford,59,295.2,"33,653",114
90,91,Branden Grace,76,295.1,"33,050",112
91,92,Patton Kizzire,76,294.9,"38,932",132
92,94,Cameron Smith,79,294.2,"36,485",124
93,95,Wes Roach,69,294.1,"37,062",126
93,95,Matt Jones,88,294.1,"49,414",168
95,97,Hank Lebioda,76,294.0,"41,154",140
96,98,Sam Ryder,76,293.9,"39,969",136
96,98,Joey Garber,63,293.9,"33,502",114
98,100,J.T. Poston,100,293.8,"56,411",192
98,100,Danny Willett,63,293.8,"34,669",118
100,102,Stephan Jaeger,77,293.7,"41,712",142
101,103,Richy Werenski,89,293.6,"48,739",166
102,104,Bud Cauley,82,293.4,"48,110",164
103,105,Troy Merritt,69,293.3,"33,439",114
103,107,Abraham Ancer,93,293.3,"46,923",160
105,106,Anders Albertson,68,293.2,"37,530",128
106,108,Si Woo Kim,87,292.4,"43,278",148
106,108,Kiradech Aphibarnrat,65,292.4,"31,582",108
106,108,Joel Dahmen,100,292.4,"51,457",176
106,108,Scott Piercy,90,292.4,"45,620",156
110,112,Peter Malnati,87,292.2,"48,510",166
111,113,Nick Taylor,97,292.1,"54,327",186
112,114,Josh Teater,73,292.0,"39,126",134
112,114,Adam Long,76,292.0,"44,386",152
114,116,Julián Etulain,70,291.8,"37,936",130
114,116,Kevin Streelman,83,291.8,"47,278",162
114,116,Billy Horschel,99,291.8,"46,683",160
117,120,Bill Haas,77,291.5,"40,224",138
117,120,Ian Poulter,65,291.5,"29,153",100
119,122,Adam Hadwin,86,291.2,"43,101",148
120,123,Austin Cook,68,291.0,"32,591",112
120,123,Kramer Hickok,79,291.0,"44,810",154
122,125,Denny McCarthy,89,290.8,"47,107",162
123,127,J.J. Spaun,90,290.4,"42,982",148
123,127,Tom Hoge,98,290.4,"49,956",172
125,129,Kelly Kraft,87,290.2,"44,695",154
125,129,Anirban Lahiri,73,290.2,"37,723",130
125,129,José de Jesús Rodríguez,67,290.2,"37,720",130
125,129,Fabián Gómez,62,290.2,"35,990",124
129,133,Jason Dufner,74,290.1,"37,133",128
130,134,Chris Stroud,70,289.8,"35,938",124
130,134,Adam Svensson,73,289.8,"38,839",134
132,136,Nate Lashley,70,289.6,"39,385",136
132,136,Rafa Cabrera Bello,71,289.6,"32,436",112
132,136,Kevin Na,65,289.6,"27,800",96
135,139,Matt Kuchar,87,289.5,"46,326",160
136,140,Rory Sabbatini,97,289.4,"53,831",186
136,140,Jonas Blixt,82,289.4,"43,988",152
136,140,Curtis Luck,65,289.4,"34,154",118
139,143,Ryan Blaum,90,289.2,"47,425",164
139,143,Russell Knox,79,289.2,"39,332",136
141,145,Kyle Stanley,81,288.9,"36,980",128
142,146,J.J. Henry,58,288.8,"30,035",104
143,147,Francesco Molinari,61,288.7,"28,870",100
143,147,Robert Streb,80,288.7,"41,568",144
145,149,Scott Brown,86,288.6,"47,337",164
145,150,Webb Simpson,81,288.6,"45,020",156
147,151,Brian Harman,91,288.4,"46,719",162
147,151,Michael Thompson,71,288.4,"40,948",142
149,153,Jim Herman,52,288.3,"27,680",96
150,154,Tyler Duncan,89,288.2,"47,842",166
