RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
1,1,Justin Thomas,23,"$8,694,821",3
2,3,Dustin Johnson,20,"$8,457,352",3
3,4,Justin Rose,18,"$8,130,678",2
4,2,Bryson DeChambeau,26,"$8,094,489",3
5,5,Brooks Koepka,17,"$7,094,047",2
6,6,Bubba Watson,24,"$5,793,748",3
7,7,Tony Finau,28,"$5,620,138",
8,16,Tiger Woods,18,"$5,443,841",1
9,8,Webb Simpson,26,"$5,376,417",1
10,9,Jason Day,20,"$5,087,461",2
11,10,Francesco Molinari,20,"$5,065,842",2
12,11,Patrick Reed,26,"$5,006,267",1
13,12,Phil Mickelson,24,"$4,595,187",1
14,13,Rory McIlroy,18,"$4,410,296",1
15,27,Billy Horschel,27,"$4,315,200",1
16,14,Rickie Fowler,20,"$4,235,237",
17,15,Keegan Bradley,27,"$4,069,464",1
18,18,Xander Schauffele,27,"$4,047,538",
19,19,Jon Rahm,20,"$3,992,678",1
20,17,Patrick Cantlay,23,"$3,963,962",1
21,21,Tommy Fleetwood,19,"$3,935,147",
22,20,Kyle Stanley,26,"$3,916,001",
23,22,Marc Leishman,25,"$3,771,221",
24,25,Paul Casey,20,"$3,641,771",1
25,23,Cameron Smith,24,"$3,622,607",
26,24,Kevin Na,26,"$3,578,316",1
27,26,Patton Kizzire,29,"$3,541,151",2
28,28,Aaron Wise,29,"$3,486,407",1
29,31,Gary Woodland,27,"$3,108,907",1
30,29,Kevin Kisner,25,"$2,972,285",
31,30,Pat Perez,23,"$2,962,641",1
32,32,Jordan Spieth,23,"$2,793,536",
33,33,Chesson Hadley,30,"$2,768,863",
34,34,Brian Harman,25,"$2,733,463",
35,35,Ian Poulter,20,"$2,714,450",1
36,36,Luke List,29,"$2,710,736",
37,37,Chez Reavie,28,"$2,700,018",
38,38,Alex Noren,18,"$2,699,150",
39,49,Hideki Matsuyama,21,"$2,687,477",
40,39,Henrik Stenson,16,"$2,680,487",
41,40,Andrew Landry,27,"$2,642,179",1
42,41,Byeong Hun An,24,"$2,599,264",
43,42,Emiliano Grillo,25,"$2,493,163",
44,43,Ryan Armour,32,"$2,485,203",1
45,44,Rafa Cabrera Bello,20,"$2,449,869",
46,45,Beau Hossler,28,"$2,449,707",
47,46,Brandt Snedeker,25,"$2,448,970",1
48,47,Austin Cook,29,"$2,448,920",1
49,48,Andrew Putnam,28,"$2,387,382",1
50,50,Brendan Steele,22,"$2,291,128",1
51,51,Si Woo Kim,31,"$2,276,114",
52,52,Adam Scott,21,"$2,237,641",
53,53,Charles Howell III,28,"$2,179,725",
54,54,Brian Gay,30,"$2,152,501",
55,55,Jimmy Walker,23,"$2,027,312",
56,56,Ryan Moore,22,"$1,986,608",
57,57,J.J. Spaun,27,"$1,978,906",
58,58,"Ted Potter, Jr.",28,"$1,976,198",1
59,59,Zach Johnson,25,"$1,957,635",
60,60,Tyrrell Hatton,16,"$1,943,360",
61,61,Adam Hadwin,25,"$1,932,488",
62,62,Whee Kim,30,"$1,920,340",
63,63,Stewart Cink,25,"$1,887,208",
64,64,Scott Piercy,26,"$1,882,337",1
65,65,C.T. Pan,30,"$1,881,787",
66,66,Chris Kirk,29,"$1,824,111",
67,67,Peter Uihlein,26,"$1,797,715",
68,68,Jason Kokrak,29,"$1,794,431",
69,69,Louis Oosthuizen,17,"$1,731,493",
70,70,Daniel Berger,23,"$1,721,763",
71,71,Matt Kuchar,24,"$1,720,097",
72,72,Charl Schwartzel,20,"$1,710,179",
73,73,Abraham Ancer,30,"$1,676,695",
74,74,Keith Mitchell,29,"$1,641,260",
75,75,Kevin Chappell,23,"$1,608,338",
76,76,J.B. Holmes,24,"$1,595,942",
77,77,Branden Grace,18,"$1,529,289",
78,78,Kevin Streelman,27,"$1,523,642",
79,79,Russell Henley,23,"$1,516,438",
80,80,Jason Dufner,22,"$1,497,655",
81,81,Kelly Kraft,31,"$1,496,253",
82,82,Ryan Palmer,22,"$1,484,445",
83,83,Joel Dahmen,28,"$1,476,838",
84,84,Satoshi Kodaira,18,"$1,471,462",1
85,85,Brice Garnett,30,"$1,466,224",1
86,86,Anirban Lahiri,24,"$1,441,205",
87,87,Russell Knox,27,"$1,424,030",
88,88,Nick Watney,26,"$1,402,833",
89,89,Charley Hoffman,25,"$1,400,637",
90,90,James Hahn,26,"$1,386,301",
91,91,Michael Kim,27,"$1,379,736",1
92,92,Kevin Tway,31,"$1,379,544",
93,93,Jamie Lovemark,26,"$1,377,286",
94,94,Tom Hoge,31,"$1,358,542",
95,95,Troy Merritt,27,"$1,326,989",1
96,96,Ollie Schniederjans,27,"$1,303,610",
97,97,Patrick Rodgers,30,"$1,287,040",
98,98,Danny Lee,30,"$1,269,386",
99,99,Sung Kang,29,"$1,243,309",
100,100,Harold Varner III,27,"$1,223,064",
101,101,Alex Cejka,24,"$1,198,541",
102,102,Trey Mullinax,24,"$1,184,245",
103,103,Bronson Burgoon,24,"$1,179,616",
104,104,Brandon Harkins,30,"$1,148,115",
105,105,Scott Stallings,30,"$1,147,573",
106,106,Jhonattan Vegas,27,"$1,137,444",
107,107,Rory Sabbatini,27,"$1,126,057",
108,108,Sean O'Hair,22,"$1,104,865",
109,109,Brian Stuard,32,"$1,089,763",
110,110,Richy Werenski,32,"$1,081,283",
111,111,Scott Brown,32,"$1,076,678",
112,112,Grayson Murray,22,"$1,056,628",
113,113,Sam Ryder,26,"$1,046,166",
114,114,Martin Laird,22,"$1,017,580",
115,115,Sam Saunders,26,"$981,936",
116,116,Ryan Blaum,28,"$980,877",
117,117,John Huh,29,"$974,538",
118,118,Vaughn Taylor,25,"$965,691",
119,119,Tyler Duncan,31,"$944,021",
120,120,J.T. Poston,22,"$940,661",
121,121,William McGirt,26,"$933,327",
122,122,Bud Cauley,17,"$900,591",
123,123,Nick Taylor,30,"$899,373",
124,124,Sergio Garcia,15,"$878,354",
125,125,Martin Piller,28,"$847,304",
126,126,Thomas Pieters,11,"$813,227",
127,127,Chad Campbell,28,"$801,960",
128,128,Harris English,31,"$799,450",
129,129,Ben Silverman,28,"$793,140",
130,130,Seamus Power,28,"$791,018",
131,131,Lucas Glover,18,"$789,382",
132,132,Tyrone Van Aswegen,31,"$763,584",
133,133,Corey Conners,28,"$728,296",
134,134,Aaron Baddeley,27,"$725,928",
135,135,Derek Fathauer,28,"$708,712",
136,136,Robert Garrigus,27,"$702,030",
137,137,Tom Lovelady,28,"$700,783",
138,138,Shane Lowry,19,"$696,897",
139,139,Jim Furyk,15,"$660,010",
140,140,Johnson Wagner,21,"$656,322",
141,141,Talor Gooch,27,"$654,200",
142,142,Bill Haas,25,"$638,414",
143,143,David Hearn,21,"$622,383",
144,144,Ben Crane,21,"$620,646",
145,145,David Lingmerth,26,"$616,758",
146,146,Nicholas Lindheim,26,"$593,842",
147,147,Steve Stricker,12,"$582,566",
148,148,Graeme McDowell,20,"$581,024",
149,149,Hudson Swafford,22,"$569,391",
150,150,Chris Stroud,27,"$565,466",
151,151,Michael Thompson,19,"$563,972",
152,152,Retief Goosen,20,"$545,364",
153,153,Matt Jones,23,"$538,681",
154,154,Ben Martin,20,"$532,936",
155,155,Shawn Stefani,25,"$523,204",
156,156,Mackenzie Hughes,28,"$518,476",
157,157,Denny McCarthy,22,"$498,341",
158,158,Wesley Bryan,23,"$498,166",
159,159,J.J. Henry,28,"$482,052",
160,160,Adam Schenk,28,"$474,923",
161,161,Hunter Mahan,21,"$457,337",
162,162,Jonathan Randolph,25,"$453,328",
163,163,Martin Flores,29,"$449,266",
164,164,Fabián Gómez,28,"$437,032",
165,165,Stephan Jaeger,26,"$422,260",
166,166,Xinjun Zhang,28,"$420,377",
167,167,Peter Malnati,28,"$420,001",
168,168,Ross Fisher,13,"$412,954",
169,169,Robert Streb,29,"$411,606",
170,170,Blayne Barber,22,"$398,137",
171,171,Dominic Bozzelli,20,"$391,634",
172,172,Cameron Percy,16,"$387,612",
173,173,D.A. Points,25,"$377,265",
174,174,Jonas Blixt,23,"$368,518",
175,175,Ethan Tracy,23,"$364,493",
176,176,Lanto Griffin,26,"$358,380",
177,177,Ricky Barnes,22,"$340,591",
178,178,Zac Blair,20,"$330,507",
179,179,Steve Wheatcroft,20,"$309,656",
180,180,Brett Stegmaier,21,"$305,607",
181,181,Cody Gribble,25,"$302,593",
182,182,Matt Every,30,"$299,162",
183,183,Nate Lashley,17,"$296,650",
184,184,Greg Chalmers,20,"$288,023",
185,185,Rob Oppenheim,26,"$279,019",
186,186,Jonathan Byrd,24,"$267,055",
187,187,Graham DeLaet,3,"$251,630",
188,188,Roberto Díaz,25,"$235,635",
189,189,Daniel Summerhays,19,"$234,510",
190,190,Camilo Villegas,14,"$229,439",
191,191,K.J. Choi,14,"$219,405",
192,192,Tim Herron,12,"$209,216",
193,193,Andres Romero,6,"$206,764",
194,194,Smylie Kaufman,22,"$201,136",
195,195,Conrad Shindler,20,"$187,399",
196,196,Sangmoon Bae,17,"$184,057",
197,197,Rod Pampling,20,"$183,806",
198,198,Cameron Tringale,26,"$179,459",
199,199,Stuart Appleby,12,"$175,235",
200,200,Parker McLachlin,11,"$174,039",
201,201,Morgan Hoffmann,9,"$170,673",
202,202,Billy Hurley III,27,"$145,725",
203,203,Bernhard Langer,2,"$130,200",
204,204,John Merrick,11,"$119,407",
