RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,1,Jim Furyk,4,24.166666666666668,"1,740.000",72,Under
2,2,Ricky Barnes,12,26.333333333333332,"1,895.333",72,Under
3,3,Ryan Blaum,8,27.0,"1,915.417",71,Under
4,4,George McNeill,8,27.583333333333332,991.583,36,Over
5,5,Akshay Bhatia,6,28.583333333333332,"2,059.667",72,Under
6,7,William McGirt,6,28.916666666666668,"3,121.083",108,Under
7,8,Justin Suh,10,29.083333333333332,"2,067.000",71,Under
8,9,Wes Roach,6,29.5,"1,062.500",36,Under
9,10,Bud Cauley,4,29.75,"2,144.083",72,Under
10,11,Kyle Stanley,20,29.916666666666668,"5,857.583",196,Under
11,15,Chez Reavie,20,30.083333333333332,"8,034.667",267,Under
12,11,Hanbyeol Kim,4,30.166666666666668,"2,142.750",71,Under
13,16,Jonathan Byrd,16,30.75,"3,847.917",125,Under
14,23,Vaughn Taylor,16,30.833333333333332,"4,964.167",161,Under
14,17,Tyrrell Hatton,20,30.833333333333332,"9,249.917",300,Under
16,18,K.J. Choi,8,30.916666666666668,"3,863.583",125,Even
16,13,Jason Dufner,16,30.916666666666668,"6,087.167",197,Under
16,20,Emiliano Grillo,26,30.916666666666668,"9,388.417",304,Under
19,6,J.J. Spaun,14,31.083333333333332,"5,032.750",162,Under
20,27,Russell Knox,18,31.25,"7,285.333",233,Under
20,13,Ryan Armour,18,31.25,"6,185.167",198,Over
22,21,Andy Zhang,4,31.5,"2,268.583",72,Under
22,21,Andy Ogletree,6,31.5,"1,135.000",36,Over
24,24,Gunn Charoenkul,4,31.75,"2,251.833",71,Under
25,30,Cameron Percy,18,32.0,"5,182.500",162,Under
26,33,Russell Henley,20,32.25,"11,004.750",341,1 Under
26,26,Austin Cook,16,32.25,"8,668.500",269,Under
28,28,Nelson Ledesma,8,32.333333333333336,"2,326.083",72,Under
29,30,Michael Gellerman,5,32.5,"1,170.250",36,Under
30,32,Ben Taylor,10,32.583333333333336,"2,344.750",72,Under
31,28,Mark Anderson,16,32.666666666666664,"4,118.583",126,Under
32,43,Chris Baker,10,32.75,"2,943.833",90,Under
33,81,Doug Ghim,18,32.833333333333336,"6,471.333",197,Under
33,35,Anirban Lahiri,16,32.833333333333336,"4,723.500",144,Under
33,65,Brian Stuard,22,32.833333333333336,"8,839.583",269,Under
36,34,Martin Laird,18,33.0,"7,724.250",234,Under
37,36,Brendan Steele,16,33.166666666666664,"8,896.417",268,Under
38,53,David Hearn,18,33.25,"5,317.250",160,Under
39,37,Sam Burns,18,33.333333333333336,"8,324.000",250,Under
39,56,Joel Dahmen,22,33.333333333333336,"12,417.833",373,Under
39,37,Mikumu Horikawa,4,33.333333333333336,"2,365.000",71,Under
42,40,Chan Kim,6,33.583333333333336,"3,627.583",108,Over
42,50,Harry Higgs,16,33.583333333333336,"8,909.333",265,Under
42,40,Naoki Sekito,4,33.583333333333336,"2,319.167",69,Under
42,40,Ryan Palmer,14,33.583333333333336,"8,398.583",250,Under
46,43,Jaekyeong Lee,4,33.666666666666664,"2,354.417",70,Under
46,43,Collin Morikawa,16,33.666666666666664,"7,135.583",212,Under
46,72,Corey Conners,28,33.666666666666664,"12,580.750",374,Under
49,47,Joohyung Kim,12,33.75,"4,826.083",143,Under
49,47,Isaiah Salinda,8,33.75,"4,757.167",141,Under
51,37,Tom Hoge,24,33.833333333333336,"13,902.083",411,1 Under
51,50,Carlos Ortiz,20,33.833333333333336,"12,112.167",358,Under
51,50,Zack Sucher,6,33.833333333333336,"1,216.500",36,Under
54,72,Zach Johnson,24,33.916666666666664,"11,556.917",341,Under
54,53,Graham DeLaet,9,33.916666666666664,"3,055.667",90,Over
56,67,John Huh,12,34.0,"6,656.500",196,Under
56,62,Brandon Hagy,12,34.0,"4,245.417",125,Under
56,56,Wesley Bryan,8,34.0,"3,635.917",107,Under
56,56,Zac Blair,10,34.0,"3,642.000",107,Under
60,59,Hank Lebioda,16,34.083333333333336,"4,299.583",126,Under
60,53,Mark Hubbard,22,34.083333333333336,"12,699.250",373,Under
60,77,Kevin Streelman,22,34.083333333333336,"12,727.333",373,Under
63,43,Doc Redman,20,34.166666666666664,"9,098.917",266,Under
64,59,Shaun Norris,6,34.25,"3,697.750",108,Under
64,59,Brad Kennedy,4,34.25,"2,464.750",72,Under
64,47,Xinjun Zhang,16,34.25,"6,747.667",197,Under
67,65,Rob Oppenheim,20,34.583333333333336,"8,101.083",234,Under
68,67,C.T. Pan,26,34.666666666666664,"10,564.250",305,Under
68,87,Charley Hoffman,24,34.666666666666664,"10,576.167",305,Under
70,67,Nick Watney,12,34.75,"5,589.167",161,Under
71,85,Sam Ryder,14,34.833333333333336,"5,604.917",161,Even
71,111,Chase Seiffert,16,34.833333333333336,"5,642.750",162,Under
71,103,Adam Long,26,34.833333333333336,"13,027.250",374,Under
71,24,Sebastian Cappelen,12,34.833333333333336,"4,355.333",125,Under
75,101,Andrew Landry,20,34.916666666666664,"10,556.167",302,Under
75,75,Jon Rahm,16,34.916666666666664,"7,501.750",215,Under
75,85,Sepp Straka,26,34.916666666666664,"10,604.417",304,Under
78,77,Byeong Hun An,16,35.0,"8,742.667",250,Under
79,79,Justin Thomas,16,35.083333333333336,"7,508.667",214,Under
79,79,Erik Barnes,4,35.083333333333336,"2,523.667",72,Even
79,75,"Ted Potter, Jr.",10,35.083333333333336,"5,617.333",160,Over
79,81,Camilo Villegas,18,35.083333333333336,"8,133.167",232,Under
83,71,Scott Stallings,18,35.333333333333336,"8,192.333",232,Under
83,103,Keegan Bradley,20,35.333333333333336,"12,058.750",341,Under
83,72,Chris Kirk,14,35.333333333333336,"6,959.750",197,Under
83,62,Peter Malnati,22,35.333333333333336,"8,267.000",234,Under
87,67,James Hahn,18,35.416666666666664,"8,207.500",232,Under
87,94,Pat Perez,18,35.416666666666664,"7,015.250",198,Under
89,100,Scott Brown,16,35.5,"6,954.917",196,Over
89,111,Matthew NeSmith,20,35.5,"9,486.250",267,Under
91,90,Seonghyeon Kim,4,35.666666666666664,"2,494.417",70,Under
91,81,Jamie Lovemark,20,35.666666666666664,"8,098.083",227,Under
93,107,Luke Donald,16,35.75,"6,899.167",193,Over
93,94,Scott Piercy,22,35.75,"10,871.500",304,Under
93,94,Brooks Koepka,12,35.75,"5,039.167",141,Under
96,107,Chesson Hadley,20,35.833333333333336,"9,568.167",267,Under
96,90,Bo Van Pelt,12,35.833333333333336,"4,446.083",124,Over
96,98,Justin Rose,16,35.833333333333336,"6,951.750",194,Under
99,81,Will Gordon,22,35.916666666666664,"9,528.417",265,Under
100,62,Aaron Baddeley,12,36.0,"4,540.917",126,Under
101,103,J.B. Holmes,10,36.166666666666664,"6,400.417",177,Under
101,115,Branden Grace,20,36.166666666666664,"8,417.833",233,Over
101,115,Shane Lowry,22,36.166666666666664,"11,002.917",304,Under
101,90,Hudson Swafford,20,36.166666666666664,"7,053.750",195,Under
105,90,Harold Varner III,16,36.25,"8,450.167",233,Under
105,106,Grayson Murray,10,36.25,"5,143.833",142,Over
105,138,Webb Simpson,20,36.25,"9,603.833",265,Under
105,94,Charl Schwartzel,18,36.25,"8,453.333",233,Under
109,107,Rickie Fowler,18,36.333333333333336,"8,822.167",243,Under
110,111,Peter Uihlein,8,36.416666666666664,"1,311.083",36,Under
111,107,Nate Lashley,22,36.5,"9,719.667",266,Under
112,170,Rhein Gibson,12,36.583333333333336,"3,256.917",89,Over
112,89,Stewart Cink,20,36.583333333333336,"9,767.000",267,Under
112,118,Matthew Wolff,18,36.583333333333336,"10,500.417",287,Under
115,120,Sahith Theegala,6,36.666666666666664,"3,884.167",106,Under
115,120,Francesco Molinari,8,36.666666666666664,"3,959.917",108,Under
117,123,Rafael Campos,6,36.75,"1,322.667",36,Under
117,152,Fabián Gómez,18,36.75,"7,168.583",195,Under
117,123,Daniel Berger,12,36.75,"7,862.167",214,Under
117,111,Joseph Bramlett,20,36.75,"7,165.167",195,Under
117,120,Bo Hoag,18,36.75,"8,562.833",233,Under
117,,Andy Sullivan,4,36.75,"1,985.833",54,Over
123,98,Kevin Chappell,20,36.833333333333336,"11,092.750",301,Under
123,88,Luke List,20,36.833333333333336,"7,174.833",195,Under
125,126,Bubba Watson,16,36.916666666666664,"7,981.083",216,Under
125,126,Sangmoon Bae,8,36.916666666666664,"1,330.250",36,Over
125,126,Lanto Griffin,20,36.916666666666664,"11,896.417",322,Under
128,130,Cameron Smith,20,37.0,"10,609.833",287,Under
129,126,Tyler McCumber,16,37.083333333333336,"5,928.250",160,Under
129,138,Brian Harman,26,37.083333333333336,"16,660.750",449,Under
129,183,Kevin Kisner,16,37.083333333333336,"8,639.917",233,Under
129,192,Jim Herman,16,37.083333333333336,"10,011.333",270,Over
133,133,Brice Garnett,24,37.166666666666664,"9,956.667",268,Under
133,133,Matthew Fitzpatrick,16,37.166666666666664,"7,276.917",196,Under
133,130,Talor Gooch,22,37.166666666666664,"13,837.500",372,1 Under
133,150,Adam Schenk,26,37.166666666666664,"11,301.250",304,Under
137,133,Tony Finau,16,37.25,"7,978.417",214,Under
137,133,Henrik Norlander,16,37.25,"7,973.167",214,Under
137,115,Nick Taylor,18,37.25,"8,612.833",231,Under
137,152,Jhonattan Vegas,18,37.25,"7,303.750",196,Under
141,138,Paul Casey,18,37.333333333333336,"9,214.833",247,Under
141,130,Maverick McNealy,18,37.333333333333336,"8,619.333",231,Under
141,138,Abraham Ancer,20,37.333333333333336,"10,640.667",285,Under
141,138,MJ Daffue,10,37.333333333333336,"6,650.583",178,Under
145,143,Viktor Hovland,16,37.416666666666664,"10,653.250",285,Under
145,143,George Markham,4,37.416666666666664,"2,693.583",72,Under
145,192,Sean O'Hair,18,37.416666666666664,"8,721.667",233,Over
145,143,Gary Woodland,8,37.416666666666664,"4,006.833",107,Over
149,123,Bronson Burgoon,14,37.5,"7,268.333",194,Under
150,118,Kevin Tway,18,37.583333333333336,"6,086.250",162,Over
150,158,Tim Wilkinson,14,37.583333333333336,"4,695.500",125,Under
150,148,Will Zalatoris,18,37.583333333333336,"6,763.500",180,Under
150,173,Cameron Tringale,20,37.583333333333336,"11,353.250",302,Under
154,150,Shawn Stefani,5,37.666666666666664,"1,355.083",36,Over
154,143,Robby Shelton,16,37.666666666666664,"10,055.833",267,Under
156,148,Cameron Davis,18,37.75,"11,486.000",304,Under
156,133,Robert Streb,16,37.75,"4,756.417",126,Under
156,152,Michael Kim,12,37.75,"5,438.000",144,Over
156,158,Michael Gligic,20,37.75,"8,728.500",231,Under
156,152,Dawie van der Walt,4,37.75,"2,718.583",72,Under
161,157,Kristoffer Ventura,22,37.833333333333336,"10,143.917",268,Under
162,173,Andrew Putnam,25,37.916666666666664,"12,279.000",324,Under
162,18,Ryan Brehm,14,37.916666666666664,"3,336.000",88,Under
162,172,Patton Kizzire,22,37.916666666666664,"11,499.000",303,Under
162,162,Satoshi Kodaira,14,37.916666666666664,"8,724.667",230,Under
166,158,Danny Lee,15,38.0,"10,173.667",268,Over
166,158,Sergio Garcia,18,38.0,"12,161.000",320,Under
168,101,Josh Teater,10,38.083333333333336,"3,391.417",89,Under
168,192,Denny McCarthy,24,38.083333333333336,"10,235.667",269,Under
170,163,Si Woo Kim,24,38.166666666666664,"13,659.417",358,Under
171,165,Bryson DeChambeau,12,38.25,"5,503.667",144,Under
171,165,Kramer Hickok,16,38.25,"5,475.583",143,Over
171,165,Cameron Champ,16,38.25,"8,153.167",213,Under
171,165,Johnson Wagner,8,38.25,"1,376.917",36,Even
175,156,Sebastián Muñoz,26,38.333333333333336,"14,406.500",376,Under
175,183,Harris English,18,38.333333333333336,"11,656.000",304,Under
175,223,Roger Sloan,16,38.333333333333336,"6,209.333",162,Under
178,181,Hunter Mahan,16,38.5,"7,472.750",194,Over
178,165,Kyoung-Hoon Lee,22,38.5,"10,356.667",269,Over
178,173,Kiradech Aphibarnrat,12,38.5,"2,734.083",71,Under
181,170,Dylan Frittelli,22,38.583333333333336,"11,645.000",302,Under
181,178,Brandt Snedeker,22,38.583333333333336,"11,716.667",304,Under
181,178,Scottie Scheffler,22,38.583333333333336,"12,277.333",318,Under
184,147,Matt Every,10,38.666666666666664,"3,442.083",89,Over
184,200,Graeme McDowell,14,38.666666666666664,"6,260.750",162,Over
184,180,John Senden,8,38.666666666666664,"1,393.167",36,Over
187,224,Tommy Fleetwood,18,38.75,"8,912.500",230,Under
187,173,Richy Werenski,18,38.75,"11,663.583",301,Under
187,192,Sungjae Im,30,38.75,"17,214.583",444,Under
190,183,Michael Thompson,16,38.833333333333336,"10,993.583",283,Over
190,183,Tiger Woods,10,38.833333333333336,"4,152.500",107,Over
192,188,Brian Gay,8,38.916666666666664,"2,721.250",70,Even
192,204,Matt Kuchar,20,38.916666666666664,"11,919.750",306,Under
192,199,Troy Merritt,22,38.916666666666664,"11,879.583",305,Over
192,188,Dustin Johnson,12,38.916666666666664,"5,526.250",142,Under
192,188,Erik van Rooyen,11,38.916666666666664,"6,965.000",179,Over
197,204,Jason Day,23,39.0,"13,924.083",357,Under
198,196,Kevin Na,18,39.083333333333336,"9,690.000",248,Under
198,196,Dominic Bozzelli,8,39.083333333333336,"1,407.333",36,Over
198,209,Wyndham Clark,20,39.083333333333336,"10,514.917",269,Under
201,198,Xander Schauffele,16,39.166666666666664,"8,382.750",214,Under
201,204,Joaquin Niemann,20,39.166666666666664,"13,288.833",339,Under
201,188,Jason Kokrak,18,39.166666666666664,"10,499.667",268,Under
204,232,Kevin Stadler,9,39.25,"4,863.417",124,Over
205,173,D.J. Trahan,18,39.333333333333336,"6,328.500",161,Under
205,268,Bernd Wiesberger,12,39.333333333333336,"4,958.167",126,Over
207,201,Padraig Harrington,8,39.416666666666664,"2,837.750",72,Under
207,207,D.A. Points,14,39.416666666666664,"6,342.333",161,Over
207,201,Patrick Cantlay,20,39.416666666666664,"11,302.167",287,Under
210,203,Phil Mickelson,16,39.5,"8,416.667",213,Over
211,213,J.T. Poston,22,39.583333333333336,"13,445.000",340,Under
212,219,Beau Hossler,24,39.666666666666664,"10,640.000",268,Under
212,181,Patrick Rodgers,20,39.666666666666664,"7,847.083",198,Over
212,163,Keith Mitchell,18,39.666666666666664,"6,423.167",162,Over
212,207,Marc Leishman,14,39.666666666666664,"7,014.000",177,Over
216,219,Tyler Duncan,22,39.75,"13,553.083",341,Under
217,210,Davis Riley,4,39.916666666666664,"2,872.917",72,Over
217,210,Kelly Kraft,14,39.916666666666664,"5,743.917",144,Over
217,247,Lucas Glover,18,39.916666666666664,"10,782.083",270,Over
220,234,Matt Jones,24,40.0,"10,673.583",267,Under
220,213,Takumi Kanaya,6,40.0,"4,279.917",107,Under
222,210,Louis Oosthuizen,18,40.083333333333336,"9,308.667",232,Under
222,249,Rafa Cabrera Bello,22,40.083333333333336,"10,731.250",268,Under
224,215,Hideki Matsuyama,22,40.166666666666664,"12,926.667",322,Under
224,215,Jeongwoo Ham,4,40.166666666666664,"2,852.750",71,Over
224,215,Luke Schniederjans,4,40.166666666666664,"1,445.167",36,Over
224,215,Jordan Spieth,18,40.166666666666664,"9,926.833",247,Under
228,232,Adam Hadwin,20,40.25,"12,237.417",304,Under
228,242,Brendon Todd,20,40.25,"10,743.583",267,Under
228,219,Justin Harding,8,40.25,"4,349.500",108,Over
228,219,Alex Cejka,6,40.25,"1,450.167",36,Over
232,231,Scott Harrington,20,40.416666666666664,"9,426.167",233,Under
233,224,Aaron Wise,18,40.583333333333336,"9,459.333",233,Under
233,226,John Pak,4,40.583333333333336,"2,922.417",72,Over
235,183,Vincent Whaley,16,40.666666666666664,"6,542.250",161,Under
236,227,Jay McLuen,4,40.75,"2,932.333",72,Over
236,227,Rory McIlroy,16,40.75,"8,676.083",213,Under
236,227,Chris Stroud,6,40.75,"2,936.917",72,Under
236,227,Steve Lewton,4,40.75,"2,936.500",72,Under
240,,Davis Thompson,4,40.916666666666664,"2,169.250",53,Over
241,235,Patrick Reed,12,41.166666666666664,"5,844.417",142,Under
242,236,Kurt Kitayama,4,41.25,"1,484.417",36,Over
243,237,Rikuya Hoshino,4,41.333333333333336,"2,976.917",72,Under
243,237,Jazz Janewattananond,10,41.333333333333336,"4,462.333",108,Over
243,237,Ryo Ishikawa,8,41.333333333333336,"5,953.833",144,Over
246,240,Seamus Power,8,41.5,"1,494.750",36,Over
246,240,Romain Langasque,4,41.5,"2,988.500",72,Over
248,242,Bill Haas,10,41.583333333333336,"4,493.667",108,Under
249,260,Ian Poulter,14,41.666666666666664,"6,710.167",161,Over
250,245,Adam Scott,12,41.75,"5,930.167",142,Over
250,245,John Augenstein,6,41.75,"1,502.333",36,Over
252,247,Tae Hee Lee,4,41.916666666666664,"2,976.833",71,Over
252,244,Sung Kang,20,41.916666666666664,"11,239.417",268,Over
254,250,Thomas Pieters,4,42.25,"3,044.167",72,Over
255,269,Henrik Stenson,17,42.333333333333336,"6,814.167",161,Over
255,251,Max Homa,14,42.333333333333336,"5,883.833",139,Over
257,257,Alex Noren,18,42.583333333333336,"12,868.000",302,Even
258,254,Mackenzie Hughes,20,42.666666666666664,"11,353.333",266,Under
259,255,Greg Chalmers,6,42.833333333333336,"4,623.167",108,Over
259,263,Rory Sabbatini,17,42.833333333333336,"12,299.500",287,Under
261,256,Christiaan Bezuidenhout,8,42.916666666666664,"3,087.500",72,Over
262,252,Lee Westwood,12,43.083333333333336,"5,341.417",124,Over
262,253,Danny Willett,13,43.083333333333336,"3,099.417",72,Over
264,271,Charles Howell III,18,43.25,"8,478.500",196,Under
265,258,Jimmy Walker,14,43.916666666666664,"7,772.583",177,Over
265,258,Billy Horschel,16,43.916666666666664,"9,316.083",212,Even
267,275,Matt Wallace,12,44.0,"5,544.833",126,Over
268,261,Ollie Schniederjans,6,44.5,"1,601.750",36,Over
269,262,Lucas Herbert,4,44.666666666666664,"3,217.917",72,Over
270,264,Tom Lewis,12,44.916666666666664,"7,951.000",177,Over
271,265,Shugo Imahira,12,45.166666666666664,"6,509.583",144,Over
