RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,1,Heath Slocum,101,31.916666666666668,"53,278.417","1,668",Under
1,2,Tim Clark,66,31.916666666666668,"30,325.917",950,Under
3,3,Tiger Woods,63,32.166666666666664,"24,781.833",770,1 Under
4,4,Jim Furyk,84,32.333333333333336,"38,247.917","1,182",Under
5,5,Joey Sindelar,75,32.416666666666664,"39,032.667","1,205",Over
6,6,Steve Stricker,81,32.666666666666664,"37,966.167","1,163",Under
7,8,Joe Durant,88,32.833333333333336,"43,035.583","1,310",Over
8,7,Fred Funk,65,33.0,"31,397.917",951,Over
9,8,Tommy Armour III,81,33.083333333333336,"40,826.750","1,233",Under
10,10,Vaughn Taylor,91,33.25,"42,689.250","1,285",Under
11,13,Brian Gay,107,33.333333333333336,"57,899.333","1,735",Under
12,14,Darron Stiles,65,33.5,"31,843.917",950,Over
12,11,Mark Brooks,53,33.5,"24,495.833",732,Over
14,11,Jay Williamson,50,33.583333333333336,"28,966.333",862,Under
15,20,Robert Gamez,88,33.75,"45,921.250","1,359",Over
15,15,Brandt Snedeker,105,33.75,"52,012.500","1,541",Under
15,17,Justin Leonard,95,33.75,"49,524.083","1,466",Under
18,16,Alex Cejka,80,33.833333333333336,"45,001.333","1,329",Under
19,17,José Coceres,50,33.916666666666664,"25,579.417",754,Over
19,21,Tom Lehman,62,33.916666666666664,"29,656.583",874,Under
19,17,Jeff Sluman,60,33.916666666666664,"25,487.083",751,Over
22,21,Bob Heintz,85,34.0,"43,624.333","1,284",Under
23,24,Ken Duke,112,34.083333333333336,"57,840.000","1,695",Under
23,21,Ernie Els,59,34.083333333333336,"26,869.167",789,Under
25,24,Kenny Perry,83,34.25,"46,187.000","1,347",Under
25,24,Boo Weekley,101,34.25,"47,976.167","1,401",Under
25,29,Jerry Kelly,101,34.25,"45,958.333","1,341",Under
25,29,Rocco Mediate,72,34.25,"41,020.333","1,198",Under
25,24,Scott Verplank,82,34.25,"36,116.583","1,055",Under
30,37,Craig Barlow,52,34.333333333333336,"27,063.500",789,Over
30,29,Stephen Ames,81,34.333333333333336,"38,121.333","1,110",Under
30,29,David Toms,80,34.333333333333336,"38,667.083","1,127",Under
30,29,Bart Bryant,87,34.333333333333336,"45,507.083","1,327",Under
30,37,Freddie Jacobson,70,34.333333333333336,"41,777.083","1,218",Under
35,34,Ted Purdy,102,34.416666666666664,"53,570.583","1,555",Under
35,34,Geoff Ogilvy,84,34.416666666666664,"39,372.583","1,145",Under
35,24,Robert Allenby,90,34.416666666666664,"46,233.833","1,342",Under
38,43,Gavin Coles,87,34.5,"47,457.750","1,376",Over
38,37,Mark Calcavecchia,93,34.5,"45,153.833","1,309",Under
38,37,Justin Rose,63,34.5,"24,144.417",700,Under
38,34,Kirk Triplett,77,34.5,"42,076.583","1,220",Over
38,37,Craig Bowden,78,34.5,"41,435.917","1,201",Under
43,45,Shaun Micheel,91,34.583333333333336,"43,305.167","1,251",Under
43,37,Matt Kuchar,85,34.583333333333336,"43,970.583","1,271",Under
45,45,Jeff Quinney,95,34.666666666666664,"53,362.583","1,539",Over
45,45,Luke Donald,69,34.666666666666664,"31,151.917",898,Under
45,45,Chad Campbell,96,34.666666666666664,"45,306.833","1,308",Over
45,45,Briny Baird,115,34.666666666666664,"65,402.667","1,886",Under
45,43,John Mallinger,96,34.666666666666664,"54,121.167","1,560",Over
50,51,Michael Allen,74,34.75,"39,703.333","1,143",Under
50,51,Stephen Leaney,82,34.75,"46,076.833","1,327",Under
50,51,Pat Perez,84,34.75,"40,426.750","1,163",Under
50,51,Jason Bohn,57,34.75,"32,841.250",944,Even
50,45,Ryan Palmer,91,34.75,"51,041.000","1,469",Over
55,59,Greg Owen,81,34.833333333333336,"43,595.833","1,251",Over
55,56,Steve Flesch,100,34.833333333333336,"56,101.333","1,609",Over
55,59,Craig Kanada,109,34.833333333333336,"58,808.917","1,688",Even
55,56,Woody Austin,95,34.833333333333336,"52,450.500","1,505",Under
55,56,Billy Mayfair,98,34.833333333333336,"51,845.250","1,487",Under
60,59,Bob Estes,88,34.916666666666664,"49,896.083","1,428",Under
60,59,Paul Goydos,60,34.916666666666664,"29,418.667",842,Over
60,59,Arron Oberholser,69,34.916666666666664,"33,178.000",950,Under
60,65,Ryan Armour,107,34.916666666666664,"58,633.417","1,681",Over
60,59,Brett Wetterich,88,34.916666666666664,"43,759.583","1,252",Even
60,51,D.J. Brigman,67,34.916666666666664,"33,625.083",962,Over
66,65,Hunter Mahan,91,35.0,"44,955.667","1,284",Under
67,68,Adam Scott,69,35.083333333333336,"33,989.667",969,Under
67,68,Stewart Cink,91,35.083333333333336,"45,257.667","1,289",Under
67,65,Cliff Kresge,107,35.083333333333336,"62,815.583","1,792",Over
70,70,Zach Johnson,76,35.166666666666664,"37,838.500","1,076",Under
70,70,Camilo Villegas,82,35.166666666666664,"43,340.917","1,232",Under
70,73,Sean O'Hair,98,35.166666666666664,"52,337.333","1,487",Under
70,73,Chris Stroud,66,35.166666666666664,"35,198.083","1,000",Under
74,73,Trevor Immelman,74,35.25,"34,194.417",970,Under
74,73,Sergio Garcia,68,35.25,"34,833.583",988,Under
74,73,Mark Wilson,87,35.25,"46,103.917","1,308",Over
74,73,Corey Pavin,81,35.25,"44,960.250","1,275",Over
74,70,Daniel Chopra,106,35.25,"59,931.750","1,699",Under
79,79,Davis Love III,66,35.333333333333336,"33,556.667",949,Over
79,79,Bo Van Pelt,104,35.333333333333336,"61,379.167","1,738",Under
