RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION,GIR RANK
1,1,Stewart Cink,103,1.723,"1,997","1,159",31.34,
2,1,Tiger Woods,78,1.724,"1,495",867,35.45,
3,3,Greg Chalmers,70,1.726,"1,317",763,32.85,
4,4,Carl Pettersson,100,1.733,"1,953","1,127",33.19,
5,5,John Daly,79,1.736,"1,639",944,33.33,
6,8,Brian Gay,96,1.737,"1,808","1,041",30.38,
7,8,Mark Hensby,97,1.738,"1,841","1,059",31.53,
7,10,Loren Roberts,81,1.738,"1,646",947,29.78,
9,5,Ernie Els,62,1.740,"1,192",685,33.33,
9,11,Ben Crane,92,1.740,"1,850","1,063",31.13,
11,14,Retief Goosen,56,1.743,"1,185",680,32.01,
11,12,Scott Verplank,92,1.743,"1,956","1,122",30.92,
13,14,Paul Azinger,75,1.745,"1,485",851,32.47,
13,14,José María Olazábal,56,1.745,"1,021",585,28.35,
13,5,Darren Clarke,54,1.745,965,553,32.12,
13,14,Steve Stricker,81,1.745,"1,454",833,30.40,
17,13,Shigeki Maruyama,93,1.746,"1,867","1,069",31.24,
17,18,Nick Price,51,1.746,929,532,29.22,
19,19,Daniel Chopra,108,1.748,"2,133","1,220",32.05,
19,19,Harrison Frazar,86,1.748,"1,683",963,32.74,
21,21,Brad Faxon,94,1.749,"1,719",983,29.15,
21,21,Glen Day,101,1.749,"1,926","1,101",30.54,
21,21,Matt Gogel,86,1.749,"1,672",956,30.75,
21,25,Mike Weir,75,1.749,"1,497",856,31.26,
25,25,Freddie Jacobson,83,1.750,"1,622",927,32.79,
26,27,Tag Ridings,53,1.751,"1,012",578,32.01,
26,21,Zach Johnson,109,1.751,"2,289","1,307",30.25,
28,30,Geoff Ogilvy,91,1.752,"1,834","1,047",33.14,
28,30,Kirk Triplett,88,1.752,"1,792","1,023",29.83,
28,30,Chris DiMarco,105,1.752,"2,073","1,183",29.54,
31,33,Davis Love III,85,1.753,"1,520",867,30.82,
32,35,José Coceres,68,1.754,"1,279",729,30.86,
33,36,Dean Wilson,99,1.755,"1,938","1,104",31.08,
33,41,Stephen Ames,97,1.755,"2,053","1,170",30.82,
33,36,Joe Ogilvie,104,1.755,"2,032","1,158",31.81,
36,39,Bob Estes,73,1.756,"1,440",820,28.97,
37,40,Danny Ellis,81,1.757,"1,555",885,29.49,
37,36,Vijay Singh,112,1.757,"2,540","1,446",32.66,
37,27,Adam Scott,55,1.757,"1,079",614,32.90,
40,41,Richard Johnson,102,1.758,"2,082","1,184",30.12,
40,41,Jay Haas,84,1.758,"1,674",952,28.16,
40,33,David Toms,80,1.758,"1,603",912,30.95,
43,27,Phil Mickelson,83,1.759,"1,740",989,32.86,
43,44,Jesper Parnevik,86,1.759,"1,799","1,023",30.59,
43,44,Frank Lickliter II,89,1.759,"1,764","1,003",31.54,
43,44,Brenden Pappas,111,1.759,"2,153","1,224",31.67,
43,44,Patrick Sheehan,113,1.759,"2,282","1,297",30.53,
48,48,Jonathan Byrd,85,1.760,"1,614",917,32.53,
49,50,Vaughn Taylor,84,1.761,"1,779","1,010",31.31,
50,53,Justin Rose,77,1.762,"1,545",877,30.32,
50,53,Corey Pavin,83,1.762,"1,556",883,29.20,
52,55,Michael Allen,87,1.763,"1,733",983,30.07,
