RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,1,Stuart Appleby,90,62.12,82,132,+27.00
2,2,Arron Oberholser,80,60.16,74,123,+26.00
3,3,Kevin Sutherland,97,60.14,86,143,+28.00
4,4,Jay Williamson,93,60.00,93,155,+39.00
5,5,Jay Haas,89,59.54,78,131,+27.00
6,5,Justin Leonard,80,59.06,75,127,+24.00
7,8,Geoff Ogilvy,86,58.82,80,136,+41.00
8,9,Vijay Singh,106,58.58,99,169,+17.00
9,10,Gavin Coles,69,58.26,67,115,+44.00
10,11,Scott Verplank,97,58.17,89,153,+46.00
11,12,Jeff Sluman,106,57.89,77,133,+29.00
12,7,Tiger Woods,74,57.73,56,97,+8.00
13,13,Doug Barron,90,57.64,83,144,+42.00
14,15,Paul Stankowski,67,57.29,55,96,+14.00
15,18,Robert Allenby,87,57.27,63,110,+29.00
16,16,John Huston,76,56.93,78,137,+42.00
17,17,Deane Pappas,75,56.76,63,111,+32.00
18,19,John Maginnes,87,56.64,81,143,+56.00
19,20,Carl Pettersson,80,56.45,70,124,+30.00
20,21,Steven Alker,87,56.43,79,140,+54.00
20,21,Rod Pampling,87,56.43,79,140,+28.00
22,14,Kirk Triplett,92,56.05,88,157,+45.00
23,25,Dudley Hart,66,56.03,65,116,+39.00
24,23,Tim Herron,102,55.70,83,149,+45.00
25,26,Kenny Perry,98,55.56,75,135,+22.00
26,27,Dan Forsman,98,55.26,63,114,+34.00
27,28,Greg Chalmers,98,55.10,108,196,+70.00
28,29,Anthony Painter,87,55.09,92,167,+46.00
29,24,Nick Price,65,55.05,60,109,+39.00
30,30,Stewart Cink,104,55.00,88,160,+61.00
31,31,Lee Janzen,83,54.92,67,122,+33.00
32,32,David Frost,80,54.89,73,133,+43.00
33,40,Chris DiMarco,98,54.73,81,148,+48.00
34,33,Phil Mickelson,87,54.68,76,139,+40.00
35,34,John Daly,56,54.64,53,97,+28.00
36,35,Mark Calcavecchia,84,54.62,71,130,+33.00
37,36,Matt Gogel,77,54.55,72,132,+42.00
38,37,Hidemichi Tanaka,112,54.49,85,156,+41.00
39,38,Jim Carter,95,54.11,79,146,+48.00
40,41,Steve Flesch,110,53.99,88,163,+46.00
41,51,Jerry Kelly,108,53.90,83,154,+46.00
42,42,John Senden,111,53.67,95,177,+31.00
43,39,David Toms,90,53.49,69,129,+26.00
44,43,Matt Kuchar,63,53.47,54,101,+27.00
45,44,Tim Petrovic,108,53.46,85,159,+55.00
46,45,Brett Quigley,92,53.33,72,135,+35.00
46,45,Aaron Baddeley,71,53.33,64,120,+39.00
48,47,Robert Damron,96,53.22,91,171,+52.00
49,48,Donnie Hammond,92,53.15,76,143,+34.00
50,49,John Morgan,81,53.10,77,145,+47.00
51,50,David Peoples,96,53.08,69,130,+32.00
52,51,Rory Sabbatini,95,53.06,78,147,+36.00
53,53,Brad Faxon,97,52.87,83,157,+44.00
54,54,Skip Kendall,110,52.76,86,163,+53.00
55,59,Davis Love III,85,52.73,58,110,+30.00
56,55,Brent Geiberger,51,52.69,49,93,+44.00
57,56,Alex Cejka,98,52.55,72,137,+31.00
58,57,Neal Lancaster,110,52.45,75,143,+29.00
59,58,Dean Wilson,82,52.35,78,149,+43.00
60,60,Kenichi Kuboya,91,52.27,69,132,+43.00
61,61,Bob Burns,88,52.21,71,136,+50.00
62,62,Shigeki Maruyama,87,52.17,72,138,+56.00
62,62,Len Mattiace,94,52.17,84,161,+62.00
62,62,Paul Gow,62,52.17,48,92,+16.00
65,65,Paul Goydos,86,52.14,73,140,+53.00
66,66,Loren Roberts,87,52.07,63,121,+51.00
67,67,Luke Donald,88,52.00,78,150,+49.00
68,76,Mike Weir,80,51.96,53,102,+27.00
69,68,Mike Sposa,72,51.92,54,104,+31.00
70,69,Bob Estes,92,51.82,57,110,+39.00
71,70,Todd Barranger,78,51.77,73,141,+62.00
72,71,Jason Gore,83,51.70,76,147,+58.00
73,72,Billy Andrade,100,51.68,77,149,+41.00
74,73,Mark Wilson,82,51.67,62,120,+40.00
75,74,Gene Sauers,87,51.55,83,161,+63.00
76,75,Andrew Magee,91,51.54,67,130,+38.00
77,77,Peter Lonard,96,51.45,71,138,+36.00
78,106,Fred Funk,112,51.18,87,170,+54.00
79,79,Tom Pernice Jr.,105,51.09,70,137,+33.00
80,80,Chris Anderson,96,50.99,77,151,+51.00
81,81,Per-Ulrik Johansson,96,50.98,78,153,+41.00
82,82,Todd Fischer,97,50.87,88,173,+71.00
82,89,K.J. Choi,112,50.87,88,173,+55.00
84,83,Tim Clark,79,50.79,64,126,+47.00
85,84,John Rollins,89,50.70,72,142,+53.00
86,85,Garrett Willis,97,50.69,73,144,+42.00
87,86,Darron Stiles,93,50.66,77,152,+49.00
88,87,Craig Barlow,95,50.64,79,156,+47.00
89,88,Notah Begay III,92,50.62,82,162,+65.00
90,89,Brian Gay,100,50.60,84,166,+71.00
91,91,Tom Gillis,71,50.55,46,91,+33.00
92,78,Ernie Els,65,50.54,47,93,+27.00
93,92,Ian Leggatt,71,50.50,51,101,+19.00
94,93,Cameron Beckman,86,50.39,64,127,+30.00
95,95,Chris Riley,96,50.38,67,133,+34.00
96,94,Andy Miller,75,50.34,73,145,+65.00
97,95,Ben Crane,94,50.00,72,144,+52.00
97,95,Brenden Pappas,105,50.00,72,144,+39.00
97,95,Steve Stricker,59,50.00,40,80,+26.00
97,95,Robert Gamez,114,50.00,89,178,+70.00
97,95,Tom Byrum,97,50.00,72,144,+61.00
97,95,Paul Azinger,73,50.00,65,130,+37.00
97,95,Jay Don Blake,77,50.00,52,104,+41.00
97,95,Peter Jacobsen,75,50.00,55,110,+35.00
105,105,Jonathan Byrd,101,49.72,90,181,+59.00
106,108,J.P. Hayes,79,49.61,63,127,+52.00
107,109,Fred Couples,71,49.53,53,107,+34.00
108,110,Sergio Garcia,62,49.51,51,103,+33.00
109,111,Brian Henninger,56,49.48,48,97,+30.00
110,95,Charles Howell III,120,49.40,82,166,+50.00
111,125,J.L. Lewis,99,49.34,75,152,+53.00
112,112,Craig Perks,82,49.21,62,126,+47.00
113,113,Duffy Waldorf,90,49.18,60,122,+40.00
114,114,Glen Hnatiuk,92,49.12,56,114,+48.00
115,115,Bernhard Langer,65,48.89,44,90,+39.00
116,118,Darren Clarke,61,48.86,43,88,+25.00
117,116,Billy Mayfair,105,48.80,81,166,+48.00
118,117,Jason Caron,74,48.76,59,121,+45.00
119,119,Carlos Franco,99,48.67,73,150,+34.00
120,120,Scott McCarron,86,48.65,72,148,+44.00
120,120,Stephen Ames,91,48.65,72,148,+54.00
122,107,Briny Baird,113,48.57,68,140,+43.00
123,123,Ben Curtis,69,48.46,63,130,+58.00
124,124,Mark Brooks,90,48.37,74,153,+71.00
125,122,Jim Furyk,104,48.30,71,147,+49.00
126,126,Mathew Goggin,90,48.18,66,137,+49.00
127,127,Corey Pavin,88,48.12,64,133,+47.00
128,128,Pat Bates,111,48.03,73,152,+60.00
129,129,Jason Buha,61,47.92,46,96,+43.00
130,131,José Coceres,62,47.79,54,113,+44.00
131,132,Cliff Kresge,102,47.77,75,157,+49.00
132,133,Rich Beem,80,47.26,69,146,+56.00
133,134,Steve Lowery,86,47.20,59,125,+51.00
134,135,Richard Johnson,89,47.06,64,136,+53.00
135,136,Olin Browne,113,46.95,77,164,+64.00
136,137,Scott Laycock,71,46.90,53,113,+37.00
136,137,Pat Perez,95,46.90,68,145,+48.00
138,139,Jeff Brehaut,110,46.85,67,143,+45.00
139,141,"Dave Stockton, Jr.",79,46.34,57,123,+53.00
140,142,Dicky Pride,73,46.08,47,102,+46.00
141,143,Brad Elder,51,45.90,28,61,+26.00
142,144,David Gossett,92,45.61,52,114,+25.00
143,145,Hank Kuehne,73,45.60,57,125,+31.00
144,146,Heath Slocum,101,45.57,72,158,+68.00
145,147,Carl Paulson,101,45.56,77,169,+47.00
146,148,Tom Lehman,87,45.54,51,112,+31.00
146,148,Akio Sadakata,83,45.54,51,112,+49.00
148,150,Rocco Mediate,80,45.38,54,119,+45.00
149,151,Patrick Sheehan,101,44.67,67,150,+50.00
150,152,John Riegger,55,44.59,33,74,+24.00
151,153,Esteban Toledo,109,44.57,78,175,+60.00
152,154,Marco Dawson,86,44.53,57,128,+39.00
153,155,Shaun Micheel,97,44.27,58,131,+56.00
154,156,Mike Grob,83,44.17,53,120,+51.00
155,157,Jesper Parnevik,102,43.75,70,160,+53.00
156,158,Adam Scott,52,43.48,30,69,+36.00
157,159,Thomas Levet,85,43.38,59,136,+47.00
158,160,Tommy Armour III,66,43.30,42,97,+52.00
159,161,Ty Tryon,52,43.01,40,93,+34.00
160,165,Bob Tway,89,42.97,55,128,+56.00
161,163,Aaron Barber,94,42.67,64,150,+71.00
162,164,Kaname Yokoo,56,42.39,39,92,+49.00
163,166,Brent Schwarzrock,60,41.86,36,86,+44.00
164,167,Jeff Maggert,81,41.82,46,110,+47.00
165,168,Spike McRoy,103,41.78,61,146,+58.00
166,169,J.J. Henry,100,41.67,50,120,+51.00
167,170,Cameron Yancey,58,41.44,46,111,+58.00
168,171,Jeff Klein,60,40.91,45,110,+60.00
169,173,Joey Sindelar,93,40.50,49,121,+50.00
170,181,Chad Campbell,105,40.29,56,139,+56.00
171,174,Joel Edwards,60,40.24,33,82,+43.00
172,175,Kent Jones,74,40.20,41,102,+52.00
173,176,Glen Day,103,40.00,58,145,+55.00
173,176,David Sutherland,77,40.00,46,115,+44.00
175,184,Retief Goosen,69,39.78,37,93,+29.00
176,178,Steve Allan,53,39.77,35,88,+44.00
177,172,Jonathan Kaye,91,39.69,52,131,+50.00
178,179,Woody Austin,107,39.66,71,179,+75.00
179,180,Brandt Jobe,77,39.62,42,106,+29.00
180,182,Vance Veazey,66,39.36,37,94,+46.00
181,183,Harrison Frazar,88,38.74,43,111,+49.00
182,185,Mark O'Meara,69,38.39,43,112,+60.00
183,186,Brian Bateman,70,38.24,39,102,+53.00
184,187,Frank Lickliter II,94,38.05,43,113,+60.00
185,188,Mike Heinen,89,37.40,49,131,+54.00
186,189,Hal Sutton,81,36.45,39,107,+59.00
187,190,Michael Clark II,54,33.85,22,65,+34.00
188,191,Chris Smith,92,33.13,53,160,+89.00
189,192,Kenneth Staton,59,32.05,25,78,+36.00
190,193,Joe Durant,96,30.25,36,119,+56.00
