RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Tiger Woods,69,69.67,209,300
2,2,Chris Riley,104,66.17,399,603
3,4,Tom Byrum,77,65.96,310,470
4,3,Nick Price,69,65.49,260,397
5,5,Joel Edwards,101,65.46,379,579
6,9,Jerry Kelly,99,65.11,362,556
7,6,Jim Furyk,88,64.78,274,423
8,10,Glen Hnatiuk,95,64.77,331,511
9,7,Len Mattiace,106,64.71,407,629
10,11,Peter Lonard,93,64.58,330,511
11,12,Rod Pampling,98,64.26,383,596
12,8,Loren Roberts,93,64.24,327,509
13,13,Mike Sposa,111,64.22,447,696
14,14,Esteban Toledo,106,64.04,399,623
15,16,Jim Carter,98,63.53,392,617
16,17,Skip Kendall,103,63.46,422,665
17,18,Jay Haas,83,63.44,328,517
18,19,Grant Waite,98,63.41,376,593
19,20,Bob Burns,99,63.33,373,589
20,15,Chris DiMarco,111,63.31,371,586
21,21,Fred Funk,106,63.22,349,552
21,22,Stephen Ames,89,63.22,318,503
23,24,José María Olazábal,71,63.07,275,436
24,23,Dan Forsman,83,63.03,283,449
25,34,Vijay Singh,102,62.98,313,497
26,26,Peter Jacobsen,67,62.87,254,404
27,27,Jonathan Kaye,83,62.75,310,494
28,29,Scott Hoch,71,62.65,260,415
29,41,Ernie Els,68,62.63,233,372
30,28,Jeff Sluman,118,62.62,407,650
31,31,Bob Tway,103,62.57,341,545
31,42,Davis Love III,92,62.57,316,505
33,32,Brian Gay,117,62.48,458,733
34,33,Glen Day,107,62.44,379,607
35,35,John Huston,99,62.38,335,537
36,36,Cameron Beckman,87,62.37,310,497
37,30,Justin Leonard,97,62.29,327,525
38,37,Tim Petrovic,92,62.28,322,517
38,37,Neal Lancaster,101,62.28,388,623
40,39,Bernhard Langer,55,62.04,201,324
41,40,Olin Browne,107,62.02,405,653
42,43,David Peoples,105,61.82,361,584
43,44,Per-Ulrik Johansson,87,61.80,330,534
44,46,John Rollins,124,61.79,427,691
45,45,Tim Herron,102,61.75,381,617
46,46,Pat Perez,89,61.71,369,598
47,62,Phil Mickelson,97,61.64,323,524
48,48,Kirk Triplett,84,61.62,297,482
49,49,John Riegger,88,61.56,285,463
50,50,Brad Faxon,93,61.44,333,542
51,55,David Toms,106,61.41,323,526
52,51,Steve Elkington,82,61.31,309,504
53,52,José Coceres,51,61.30,217,354
54,53,Matt Kuchar,82,61.28,315,514
55,54,Brandel Chamblee,85,61.23,319,521
56,57,Bob May,91,61.11,308,504
57,58,Billy Mayfair,99,61.08,339,555
58,25,Rocco Mediate,79,61.07,240,393
58,56,Retief Goosen,56,61.07,171,280
60,59,Fred Couples,64,60.99,233,382
61,60,Scott Verplank,93,60.98,300,492
62,61,Andrew Magee,91,60.97,353,579
63,63,Greg Kraft,86,60.78,341,561
64,64,J.P. Hayes,78,60.77,299,492
65,65,Carlos Franco,107,60.76,367,604
66,66,Tim Clark,76,60.61,260,429
67,67,David Gossett,95,60.60,323,533
68,68,Pat Bates,94,60.57,321,530
69,69,Matt Gogel,79,60.56,304,502
