RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS
1,1,Henrik Stenson,58,1.149,48.250,42
2,2,Justin Thomas,75,.985,55.176,56
3,3,Emiliano Grillo,85,.926,50.929,55
4,4,Adam Scott,63,.846,37.234,44
5,5,Hideki Matsuyama,91,.759,55.397,73
6,7,Jason Kokrak,94,.745,55.838,75
7,6,Jim Furyk,73,.741,42.250,57
8,9,Paul Casey,79,.706,38.844,55
9,10,Corey Conners,90,.665,45.915,69
10,12,Patrick Cantlay,77,.640,36.474,57
11,16,Brooks Koepka,81,.636,36.896,58
12,13,Rory McIlroy,72,.633,36.096,57
13,17,Chez Reavie,99,.625,43.753,70
14,11,Webb Simpson,81,.613,42.285,69
15,14,Talor Gooch,54,.604,28.977,48
16,15,Ryan Moore,74,.596,37.519,63
17,8,Matt Kuchar,87,.591,39.032,66
18,18,Russell Knox,79,.585,34.500,59
19,19,Keegan Bradley,89,.567,37.975,67
20,20,Gary Woodland,87,.545,35.400,65
21,21,Sergio Garcia,53,.525,19.960,38
21,23,Justin Rose,66,.525,25.712,49
23,24,Adam Svensson,73,.509,27.989,55
24,25,Nate Lashley,70,.487,26.789,55
25,26,Joaquin Niemann,98,.484,38.744,80
26,43,Xander Schauffele,77,.481,25.491,53
27,28,Kevin Streelman,83,.479,33.031,69
28,22,Marc Leishman,76,.472,26.895,57
29,31,Roberto Castro,76,.432,26.770,62
30,32,Shawn Stefani,80,.421,26.125,62
31,33,Byeong Hun An,80,.420,25.612,61
32,34,Andrew Putnam,81,.414,23.211,56
33,36,Matthew Fitzpatrick,54,.409,15.125,37
34,46,Jon Rahm,75,.405,21.449,53
35,37,Zach Johnson,64,.398,21.092,53
36,38,Charley Hoffman,74,.396,18.629,47
37,39,Ryan Palmer,74,.395,20.120,51
38,35,Tony Finau,89,.384,24.982,65
39,40,Tom Hoge,98,.381,27.404,72
40,41,Troy Merritt,69,.366,20.495,56
41,42,Josh Teater,73,.361,19.112,53
42,44,Russell Henley,78,.334,20.353,61
43,29,Lucas Glover,94,.330,26.770,81
44,45,Cameron Tringale,73,.327,16.691,51
45,47,Kyle Stanley,81,.309,17.018,55
45,47,Sepp Straka,78,.309,17.901,58
47,27,Dustin Johnson,73,.288,16.143,56
48,51,Hank Lebioda,76,.281,16.278,58
49,52,Vaughn Taylor,93,.269,22.059,82
50,53,Brian Stuard,98,.266,20.487,77
51,54,Scott Stallings,82,.259,17.632,68
52,50,Kevin Kisner,97,.257,18.262,71
53,56,Danny Willett,63,.250,12.505,50
54,57,Bryson DeChambeau,75,.236,15.588,66
55,58,Tommy Fleetwood,71,.235,11.773,50
56,59,Chesson Hadley,76,.231,13.864,60
57,60,Peter Malnati,87,.225,17.084,76
58,61,J.T. Poston,100,.223,19.599,88
59,62,Alex Prugh,77,.222,12.638,57
60,63,Jhonattan Vegas,75,.219,13.372,61
61,64,Tyrrell Hatton,62,.218,9.156,42
62,49,Louis Oosthuizen,71,.208,9.979,48
63,65,Jonathan Byrd,55,.204,7.331,36
64,66,Andrew Landry,80,.200,13.032,65
65,67,Bud Cauley,82,.196,14.490,74
66,68,Dylan Frittelli,83,.186,12.644,68
67,70,Max Homa,82,.179,12.331,69
68,71,Cameron Davis,76,.165,9.380,57
68,71,Anders Albertson,68,.165,8.595,52
70,55,Rickie Fowler,76,.158,9.980,63
70,73,Sam Ryder,76,.158,9.482,60
72,74,Danny Lee,83,.156,11.229,72
73,75,Ian Poulter,65,.150,6.594,44
74,76,Scott Piercy,90,.147,10.302,70
74,76,Billy Horschel,99,.147,10.157,69
76,78,Adam Schenk,102,.142,11.624,82
77,79,Joel Dahmen,100,.141,10.735,76
78,68,Patrick Reed,93,.138,10.083,73
78,80,Adam Long,76,.138,9.415,68
80,82,Trey Mullinax,77,.134,8.413,63
81,83,Kevin Tway,84,.124,8.291,67
82,84,Hudson Swafford,59,.119,5.571,47
83,85,Jim Knous,57,.111,4.331,39
84,86,Branden Grace,76,.110,4.947,45
85,87,Rory Sabbatini,97,.103,7.824,76
86,88,Sam Saunders,78,.100,6.681,67
87,89,Roger Sloan,88,.096,6.718,70
88,90,J.J. Spaun,90,.094,5.990,64
89,91,Harold Varner III,84,.093,6.894,74
90,92,Jason Dufner,74,.091,5.182,57
91,93,Rafa Cabrera Bello,71,.089,4.292,48
92,102,Brandt Snedeker,102,.083,6.634,80
