RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS
1,1,Corey Pavin,83,.535,35.837,67
2,2,Jay Haas,84,.506,30.854,61
3,3,Ernie Els,62,.445,18.243,41
4,4,José María Olazábal,56,.440,18.491,42
5,5,Fred Couples,54,.432,19.012,44
6,6,Stewart Cink,103,.391,30.923,79
7,8,Jonathan Byrd,85,.364,26.603,73
8,9,Nick Price,51,.357,12.851,36
9,10,Steve Stricker,81,.353,24.390,69
10,15,Vijay Singh,112,.352,31.349,89
11,11,Craig Parry,52,.345,12.752,37
12,12,Brian Gay,96,.342,30.112,88
13,13,Justin Leonard,90,.336,21.813,65
14,7,Tiger Woods,78,.335,18.077,54
15,16,David Frost,78,.321,24.094,75
16,14,Rory Sabbatini,89,.317,23.494,74
17,19,Kevin Sutherland,86,.315,21.090,67
18,17,Chris DiMarco,105,.299,23.031,77
19,20,Chris Riley,78,.297,15.767,53
20,21,Dan Forsman,79,.291,19.178,66
21,22,Craig Perks,75,.271,17.090,63
21,22,Luke Donald,72,.271,16.832,62
23,17,Stuart Appleby,84,.263,15.509,59
24,25,Bob Estes,73,.262,13.354,51
25,26,Lee Janzen,84,.260,18.200,70
25,26,Tim Petrovic,111,.260,22.661,87
27,28,Loren Roberts,81,.257,17.470,68
28,29,Glen Day,101,.256,22.497,88
29,32,Jerry Kelly,113,.250,21.963,88
30,31,Kirk Triplett,88,.249,16.439,66
31,24,Carlos Franco,99,.236,21.280,90
32,33,Paul Azinger,75,.233,15.170,65
32,33,Jesper Parnevik,86,.233,17.234,74
34,35,Grant Waite,79,.232,15.748,68
35,37,Esteban Toledo,92,.227,18.143,80
36,38,Brad Faxon,94,.226,15.826,70
37,39,Jason Dufner,79,.224,16.129,72
38,40,Rod Pampling,98,.223,17.419,78
38,40,Ben Curtis,56,.223,9.145,41
40,42,Craig Barlow,80,.222,15.336,69
41,43,John Huston,62,.221,9.960,45
41,43,Omar Uresti,85,.221,16.809,76
43,46,Phil Mickelson,83,.217,11.721,54
44,45,Len Mattiace,75,.216,15.085,70
45,36,Retief Goosen,56,.213,8.539,40
46,47,David Peoples,82,.205,15.340,75
47,48,Aaron Baddeley,87,.201,15.239,76
48,49,Tom Lehman,70,.196,11.362,58
49,30,John Daly,79,.190,12.709,67
49,50,Mike Weir,75,.190,10.425,55
51,51,Jeff Sluman,98,.184,15.088,82
52,52,Tim Herron,84,.182,11.979,66
53,53,Carl Pettersson,100,.179,14.108,79
54,54,Davis Love III,85,.156,9.502,61
55,56,Dean Wilson,99,.145,13.171,91
56,57,Mark Brooks,72,.144,8.189,57
56,57,Steve Pate,71,.144,8.774,61
58,59,Kevin Na,100,.140,12.019,86
