RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Vijay Singh,112,.870,77.441,89
2,2,Kenny Perry,79,.730,45.277,62
3,3,Joe Durant,85,.692,52.602,76
4,5,Darren Clarke,54,.626,21.905,35
5,4,Ernie Els,62,.622,25.486,41
6,6,Sergio Garcia,65,.606,30.295,50
7,7,Phil Mickelson,83,.597,32.249,54
8,8,J.J. Henry,103,.574,52.236,91
9,9,Zach Johnson,109,.567,50.421,89
10,10,Lucas Glover,95,.564,47.407,84
11,11,Robert Allenby,93,.541,38.919,72
12,12,Stuart Appleby,84,.538,31.724,59
13,13,Chris Smith,105,.526,48.937,93
14,14,Bo Van Pelt,107,.512,41.966,82
15,15,Davis Love III,85,.491,29.937,61
16,16,John Daly,79,.477,31.941,67
17,17,Roland Thatcher,66,.448,27.311,61
18,18,Charles Howell III,104,.428,32.551,76
19,19,Dennis Paulson,71,.404,26.642,66
20,20,Tom Lehman,70,.392,22.748,58
21,21,Craig Barlow,80,.383,26.422,69
22,22,Woody Austin,94,.381,31.663,83
23,24,Retief Goosen,56,.379,15.156,40
24,23,Scott Hend,81,.375,26.220,70
25,24,Ted Purdy,114,.369,37.969,103
25,24,Jason Bohn,98,.369,32.472,88
27,27,Peter Lonard,68,.365,19.683,54
28,28,John Senden,99,.356,30.617,86
29,31,Pat Perez,102,.329,28.252,86
30,32,Frank Lickliter II,89,.328,25.592,78
31,34,Rory Sabbatini,89,.321,23.785,74
31,30,Tiger Woods,78,.321,17.355,54
33,33,Rich Beem,81,.320,19.549,61
34,28,Scott Verplank,92,.319,21.708,68
35,35,Geoff Ogilvy,91,.305,23.170,76
36,36,Ryan Palmer,103,.293,26.400,90
37,37,Jeff Brehaut,106,.292,27.467,94
38,38,Justin Rose,77,.283,17.853,63
39,39,Joey Sindelar,100,.281,25.042,89
40,40,Jonathan Kaye,79,.278,17.218,62
41,41,Harrison Frazar,86,.273,19.405,71
42,42,Jesper Parnevik,86,.270,20.005,74
43,45,Steve Allan,102,.246,21.680,88
44,46,Arron Oberholser,77,.243,15.058,62
45,47,Billy Mayfair,109,.242,22.467,93
46,48,Kevin Sutherland,86,.241,16.154,67
47,49,Scott Hoch,52,.237,10.895,46
48,50,Fred Couples,54,.234,10.292,44
48,50,Brian Bateman,84,.234,17.069,73
50,52,Mark Hensby,97,.232,19.048,82
51,53,Bart Bryant,73,.226,14.707,65
52,54,Tim Herron,84,.225,14.826,66
53,55,Chris Couch,55,.224,10.321,46
54,43,Stephen Ames,97,.218,17.410,80
55,56,Briny Baird,100,.216,17.458,81
56,57,Mark Calcavecchia,79,.212,12.702,60
57,58,Vaughn Taylor,84,.207,15.922,77
58,59,John Huston,62,.205,9.208,45
59,60,Jeff Sluman,98,.199,16.336,82
60,61,Kirk Triplett,88,.192,12.672,66
60,61,Notah Begay III,71,.192,12.067,63
62,64,Mathias Grönberg,91,.187,13.801,74
62,64,Hunter Mahan,94,.187,15.534,83
64,66,Tim Clark,84,.184,13.052,71
65,63,Chad Campbell,100,.183,14.076,77
65,67,Rod Pampling,98,.183,14.258,78
65,67,John Rollins,90,.183,13.173,72
68,70,Hank Kuehne,91,.181,15.214,84
69,44,Adam Scott,55,.180,7.181,40
70,71,John Riegger,53,.179,8.769,49
71,72,Ben Curtis,56,.171,7.012,41
72,73,Tommy Armour III,87,.167,12.727,76
73,74,Jeff Maggert,60,.157,7.831,50
73,74,Duffy Waldorf,79,.157,9.259,59
75,76,Joe Ogilvie,104,.150,12.746,85
76,77,Tag Ridings,53,.148,6.644,45
77,69,Chris DiMarco,105,.134,10.356,77
78,81,Brian Kortan,65,.131,7.467,57
79,78,Carlos Franco,99,.130,11.657,90
79,82,Heath Slocum,92,.130,10.783,83
81,83,Spike McRoy,93,.127,9.762,77
82,79,Fred Funk,97,.121,10.069,83
83,85,Alex Cejka,76,.119,6.764,57
84,86,Neal Lancaster,106,.118,11.009,93
85,87,Roger Tambellini,81,.117,8.203,70
85,87,D.J. Brigman,79,.117,8.084,69
87,89,Rocco Mediate,53,.115,4.150,36
88,90,Jay Williamson,100,.113,10.214,90
88,90,José Coceres,68,.113,6.898,61
88,90,Hidemichi Tanaka,89,.113,8.778,78
91,93,Robert Gamez,103,.111,10.016,90
92,94,Jonathan Byrd,85,.109,7.937,73
93,84,David Toms,80,.102,6.032,59
94,96,J.L. Lewis,106,.100,8.916,89
95,97,Carl Pettersson,100,.098,7.772,79
96,98,Daniel Chopra,108,.097,8.922,92
97,99,Tom Pernice Jr.,103,.096,8.267,86
98,100,Kevin Na,100,.090,7.767,86
99,101,Jason Dufner,79,.083,5.962,72
100,95,Jerry Kelly,113,.081,7.135,88
101,102,Mike Heinen,53,.079,4.016,51
102,103,Niclas Fasth,61,.072,3.729,52
103,104,Dudley Hart,60,.064,2.965,46
104,105,Matt Kuchar,83,.059,4.550,77
105,106,Danny Ellis,81,.055,3.812,69
106,107,Robert Damron,92,.054,4.522,84
106,107,Steve Lowery,91,.054,3.964,74
106,107,Olin Browne,92,.054,4.296,79
109,110,Scott McCarron,88,.047,3.517,75
109,110,Kent Jones,99,.047,4.096,87
111,112,Luke Donald,72,.044,2.726,62
112,113,Danny Briggs,85,.043,3.233,75
113,114,Justin Leonard,90,.035,2.297,65
114,115,Cameron Beckman,99,.029,2.493,87
114,115,Bernhard Langer,59,.029,1.226,42
116,117,Glen Day,101,.028,2.451,88
117,118,Tom Carter,113,.021,2.035,96
118,119,Mark Wilson,62,.018,1.045,58
119,120,Shaun Micheel,93,.017,1.198,70
120,121,Brett Quigley,102,.014,1.200,88
121,123,Arjun Atwal,85,.013,.993,75
122,124,K.J. Choi,83,.009,.549,63
123,125,Skip Kendall,99,-.001,-.087,80
124,126,Matt Gogel,86,-.007,-.514,70
125,127,Tim Petrovic,111,-.018,-1.588,87
126,121,Mike Weir,75,-.029,-1.612,55
127,128,Kris Cox,73,-.035,-2.160,61
128,130,Tom Byrum,83,-.043,-3.100,72
129,131,Guy Boros,64,-.045,-2.658,59
130,132,Steve Elkington,64,-.047,-2.615,56
131,133,Russ Cochran,61,-.051,-2.792,55
132,129,Steve Flesch,109,-.066,-5.412,82
133,134,Brent Geiberger,94,-.067,-5.594,84
134,135,Deane Pappas,72,-.083,-5.341,64
135,136,Craig Bowden,83,-.095,-7.145,75
136,137,Patrick Sheehan,113,-.105,-10.520,100
137,138,Rich Barcelo,67,-.107,-6.295,59
138,140,Stephen Leaney,84,-.130,-7.381,57
139,142,Ben Crane,92,-.132,-10.658,81
140,143,Craig Parry,52,-.133,-4.913,37
141,139,Jay Haas,84,-.134,-8.201,61
142,141,Stewart Cink,103,-.143,-11.297,79
143,145,J.P. Hayes,79,-.162,-10.367,64
144,146,Lee Janzen,84,-.167,-11.663,70
145,148,Pat Bates,99,-.183,-16.429,90
146,149,David Branshaw,84,-.186,-13.357,72
147,150,Blaine McCallister,68,-.187,-11.588,62
148,151,Freddie Jacobson,83,-.191,-12.025,63
149,152,Omar Uresti,85,-.194,-14.720,76
150,147,Shigeki Maruyama,93,-.198,-15.419,78
151,144,Todd Hamilton,92,-.199,-13.931,70
152,153,Grant Waite,79,-.210,-14.259,68
153,154,Jay Delsing,76,-.219,-14.015,64
154,155,Scott Simpson,55,-.234,-11.939,51
155,156,Chris Riley,78,-.235,-12.437,53
156,157,Hirofumi Miyase,65,-.243,-13.847,57
157,158,Tripp Isenhour,55,-.245,-11.526,47
157,158,David Peoples,82,-.245,-18.391,75
