RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Luke Donald,71,.874,46.346,53
2,2,Paul Casey,64,.824,36.258,44
3,3,Carl Pettersson,99,.817,67.836,83
4,4,Dean Wilson,54,.780,36.666,47
5,6,Greg Chalmers,93,.778,67.700,87
6,5,Brian Gay,101,.729,59.751,82
7,7,Retief Goosen,75,.682,36.128,53
8,8,Matt Kuchar,97,.633,47.492,75
9,10,Chad Collins,87,.626,46.945,75
10,11,Zach Johnson,93,.582,43.681,75
11,9,Charlie Wi,95,.559,49.745,89
12,12,Ryuji Imada,90,.551,46.306,84
13,13,Michael Sim,64,.517,27.402,53
14,18,Troy Merritt,86,.516,39.768,77
15,15,Matt Jones,89,.515,41.231,80
16,16,Scott McCarron,90,.512,42.499,83
17,13,Aaron Baddeley,94,.502,44.202,88
18,17,Kevin Na,94,.492,37.389,76
19,19,Bryce Molder,84,.474,34.567,73
20,20,Brandt Snedeker,89,.463,34.734,75
21,26,Charles Howell III,103,.454,40.861,90
22,21,Steve Stricker,73,.435,24.378,56
23,23,Ryan Palmer,84,.433,30.735,71
24,22,Brad Faxon,58,.425,20.410,48
25,23,Jeff Overton,89,.408,28.988,71
26,25,Jim Furyk,76,.405,24.324,60
27,28,Jeff Quinney,91,.388,31.028,80
28,35,Pat Perez,90,.379,31.430,83
29,29,Geoff Ogilvy,62,.371,18.547,50
30,30,Webb Simpson,98,.369,33.930,92
31,31,Stephen Ames,75,.367,25.319,69
32,33,Matt Bettencourt,91,.366,25.601,70
33,27,Daniel Chopra,74,.365,24.436,67
34,36,Tom Gillis,97,.355,31.921,90
35,45,Michael Connell,89,.338,26.006,77
35,37,Nathan Green,86,.338,27.359,81
37,31,Skip Kendall,58,.336,16.457,49
38,38,Steve Elkington,74,.331,19.528,59
39,39,Ernie Els,72,.330,18.164,55
40,42,Paul Stankowski,62,.328,17.409,53
41,34,George McNeill,79,.324,22.673,70
42,40,James Driscoll,78,.311,22.989,74
43,41,Chris Couch,66,.305,17.975,59
44,44,Ryan Moore,80,.302,18.414,61
45,43,Brian Stuard,81,.287,20.383,71
46,46,Ben Crane,85,.268,17.712,66
46,46,Tim Clark,88,.268,18.255,68
48,48,Padraig Harrington,57,.264,11.609,44
49,49,David Toms,86,.260,18.174,70
49,51,Steve Marino,81,.260,16.366,63
51,51,Andres Romero,73,.254,18.303,72
52,54,Jimmy Walker,82,.248,17.376,70
53,56,Freddie Jacobson,83,.243,18.684,77
53,56,Justin Rose,78,.243,17.031,70
55,63,Shaun Micheel,70,.237,12.545,53
55,59,Matt Every,60,.237,12.093,51
57,69,Brent Delahoussaye,57,.235,11.045,47
57,65,Chris Tidland,77,.235,15.990,68
59,58,Ben Curtis,78,.230,15.156,66
60,61,J.J. Henry,92,.220,17.356,79
61,50,Scott Piercy,88,.216,17.514,81
62,68,Steve Wheatcroft,74,.207,12.021,58
62,64,Ian Poulter,55,.207,7.044,34
64,65,Alex Prugh,88,.204,16.310,80
65,53,Stewart Cink,84,.199,12.947,65
66,55,Blake Adams,84,.198,14.879,75
67,71,Richard Johnson,90,.193,14.115,73
68,67,Chris Riley,73,.187,11.790,63
69,70,Y.E. Yang,72,.185,10.747,58
70,62,Justin Leonard,89,.183,13.188,72
71,60,Tim Herron,79,.172,11.871,69
72,72,Rich Barcelo,70,.149,8.637,58
73,89,Mark Wilson,87,.143,11.307,79
74,74,Robert Allenby,76,.142,8.646,61
75,84,Spencer Levin,110,.131,12.789,98
76,82,Rickie Fowler,98,.128,10.606,83
77,93,Jason Bohn,84,.127,9.414,74
78,73,James Nitties,92,.126,10.175,81
79,75,David Duval,71,.119,6.668,56
